time,x,y,z
1585838972982,0.19952075,-0.15900472,-0.5616241
1585838973006,0.1944463,-0.15549465,-0.5668295
1585838973024,0.19255829,-0.15520814,-0.5682389
1585838973025,0.19189475,-0.15562594,-0.568366
1585838973030,0.1930384,-0.15647681,-0.56722313
1585838973032,0.19378553,-0.1569987,-0.56650335
1585838973034,0.19475237,-0.15746051,-0.5657462
1585838973035,0.1948815,-0.15720275,-0.5659073
1585838973046,0.19512054,-0.15694736,-0.5660233
1585838973119,0.1950579,-0.15654075,-0.56638074
1585838973119,0.1944382,-0.1557297,-0.5672856
1585838973130,0.19613901,-0.15503323,-0.56518936
1585838973132,0.19457781,-0.1538991,-0.5658642
1585838973169,0.19257765,-0.15303163,-0.56803936
1585838973175,0.19173285,-0.15349005,-0.5686909
1585838973185,0.19214724,-0.1535004,-0.568844
1585838973204,0.19259894,-0.15339959,-0.5686618
1585838973224,0.19296105,-0.15345149,-0.5681142
1585838973245,0.19356509,-0.15339439,-0.5678493
1585838973264,0.1934411,-0.1532352,-0.5680269
1585838973286,0.19284515,-0.15323082,-0.5682637
1585838973304,0.1925242,-0.15317021,-0.56843853
1585838973325,0.19264922,-0.15320973,-0.5683575
1585838973344,0.19283323,-0.1531879,-0.56830317
1585838973365,0.19319122,-0.15328488,-0.5680844
1585838973386,0.19321698,-0.15320542,-0.5681387
1585838973406,0.1931735,-0.15328111,-0.5680944
1585838973429,0.19313197,-0.15328257,-0.56810945
1585838973449,0.19297113,-0.15308869,-0.5683296
1585838973468,0.19313395,-0.15312378,-0.56823736
1585838973491,0.19354478,-0.15324616,-0.5679774
1585838973509,0.19382462,-0.15332873,-0.56780094
1585838973529,0.19392517,-0.1533543,-0.5677409
1585838973549,0.19390225,-0.15319514,-0.56756186
1585838973564,0.19369449,-0.15295805,-0.5675747
1585838973590,0.19405885,-0.15311062,-0.56730855
1585838973610,0.19409072,-0.15302049,-0.56736916
1585838973625,0.19405577,-0.15302785,-0.56737685
1585838973648,0.19409451,-0.15298685,-0.567395
1585838973669,0.19422717,-0.15301315,-0.56732184
1585838973688,0.19418722,-0.15295608,-0.5673837
1585838973705,0.19401817,-0.15287206,-0.5675178
1585838973727,0.19398753,-0.15282199,-0.5675704
1585838973745,0.1940065,-0.15277326,-0.56760246
1585838973764,0.19406115,-0.15275685,-0.56759435
1585838973792,0.19411173,-0.15275845,-0.5675733
1585838973810,0.19409017,-0.15268725,-0.56763935
1585838973829,0.19402806,-0.15262853,-0.5677112
1585838973849,0.19417012,-0.15274715,-0.56755966
1585838973869,0.19420777,-0.15275188,-0.5675411
1585838973891,0.19414374,-0.15274864,-0.5675687
1585838973910,0.19400981,-0.1527248,-0.56764036
1585838973930,0.19396092,-0.15271762,-0.5676653
1585838973950,0.19391559,-0.1526879,-0.56770706
1585838973969,0.19396625,-0.1526645,-0.5677062
1585838973990,0.19399221,-0.15265697,-0.5677022
1585838974011,0.19385876,-0.1525719,-0.5678232
1585838974029,0.19371083,-0.15249686,-0.5679417
1585838974045,0.19374993,-0.15245917,-0.5679569
1585838974069,0.19388713,-0.15248737,-0.5678805
1585838974090,0.19396687,-0.15255776,-0.56779236
1585838974110,0.19399974,-0.15266936,-0.56768924
1585838974129,0.1939159,-0.15269484,-0.56770134
1585838974149,0.19393475,-0.15274037,-0.5676571
1585838974170,0.1939532,-0.15275468,-0.56763834
1585838974192,0.19403544,-0.15277146,-0.56759256
1585838974210,0.1941311,-0.15277022,-0.5675562
1585838974230,0.19422552,-0.15273453,-0.5675482
1585838974357,0.1943553,-0.15274744,-0.56748706
1585838974371,0.1943239,-0.15271428,-0.56752616
1585838974410,0.19422181,-0.15268424,-0.56759036
1585838974432,0.19389541,-0.15252618,-0.5678459
1585838974434,0.1933817,-0.15227754,-0.56824774
