time,value,accuracy
1585860147131,77.72973,2
1585860148099,77.72973,3
1585860149065,77.72973,3
1585860150040,77.62441,3
1585860151001,77.62441,3
1585860151972,78.65364,3
1585860152946,78.80036,3
1585860153926,78.832306,3
1585860154886,79.70596,3
1585860155856,80.44017,2
1585860156824,80.44017,2
1585860157807,80.45382,2
1585860158781,80.42293,2
1585860159741,78.32145,2
1585860160712,77.43158,1
1585860161702,77.314384,1
1585860162662,77.314384,1
1585860163660,76.276245,1
1585860164608,76.14648,1
1585860165578,75.50526,3
1585860166551,81.45169,3
1585860167516,83.820526,2
1585860168497,83.820526,2
1585860169457,84.11664,3
1585860170430,85.3175,3
1585860171399,84.190315,3
1585860172372,84.18051,3
1585860173347,84.17929,3
1585860174310,84.17929,3
1585860175281,84.80414,2
1585860176251,83.78865,2
1585860177223,83.619774,2
1585860178200,80.55174,2
1585860179184,78.0744,2
1585860180131,78.0744,2
1585860181113,77.750084,2
1585860182087,77.690414,2
1585860183048,76.641,2
1585860184025,75.88482,1
1585860184998,75.86842,1
1585860185968,75.86842,1
1585860186940,76.62697,1
1585860187910,76.80162,1
1585860188881,76.82637,2
1585860189851,77.070656,2
1585860190823,77.1012,2
1585860191846,77.1012,2
1585860192769,77.10501,2
1585860193737,76.721176,2
1585860194711,75.25682,3
1585860195681,74.0707,3
1585860196646,72.25459,2
1585860197621,72.25459,2
1585860198587,71.85864,2
1585860199563,71.80915,3
1585860200532,71.80296,1
1585860201506,72.24699,1
1585860202476,71.67749,1
1585860203451,71.67749,1
1585860204426,71.684425,1
1585860205392,71.557465,1
1585860206366,71.541595,1
1585860207334,71.53961,1
1585860208303,73.54358,1
1585860209274,73.54358,1
1585860210245,76.026375,1
1585860211218,76.65676,1
1585860212187,80.98143,1
1585860213161,81.99404,1
1585860214139,83.10592,1
1585860215101,83.10592,1
1585860216071,84.867134,1
1585860217046,86.91233,1
1585860218013,87.09548,0
1585860218987,86.20476,1
1585860219955,86.17832,1
1585860220928,86.17832,1
1585860221899,86.776855,1
1585860222871,86.78917,1
1585860223845,86.75137,1
1585860224814,86.736725,1
1585860225784,86.72856,1
1585860226755,86.72856,1
1585860227727,86.72755,1
1585860228689,86.73375,1
1585860229660,86.87889,1
1585860230638,86.96823,1
1585860231602,87.04973,0
1585860232569,87.04973,0
1585860233552,86.629326,1
1585860234518,87.20781,1
1585860235486,87.66086,1
1585860236457,87.71748,1
1585860237430,87.72456,2
1585860238397,87.72456,2
1585860239372,85.47548,3
1585860240340,83.639595,3
1585860241313,75.03115,3
1585860242281,72.82816,3
1585860243262,72.68783,3
1585860244222,72.68783,3
1585860245198,71.87387,2
1585860246168,71.26105,2
1585860247140,71.18445,2
1585860248109,69.29647,3
1585860249082,72.13249,3
1585860250048,72.13249,3
1585860251028,73.39306,3
1585860251999,74.40443,3
1585860252974,74.725235,3
1585860253942,74.87837,2
1585860254911,74.897514,2
1585860255885,74.897514,2
1585860256851,74.8999,1
1585860257818,74.49107,1
1585860258794,74.39749,1
1585860259767,74.36313,1
1585860260737,74.21173,1
1585860261703,74.21173,1
1585860262681,74.13646,1
1585860263644,74.07106,1
1585860264618,74.00753,1
1585860265587,73.9449,1
1585860266555,71.7581,1
1585860267525,71.7581,1
1585860268671,72.32209,1
1585860269476,72.761826,1
1585860270448,72.70236,0
1585860271410,72.643616,1
1585860272381,72.585625,1
1585860273360,72.585625,1
1585860274322,72.52837,1
1585860275294,72.471855,1
1585860276333,72.46479,1
1585860277235,72.46391,1
1585860278206,81.048096,1
1585860279177,81.048096,1
1585860280149,83.03134,1
1585860281121,84.050446,1
