time,value,accuracy
1586946920898,107.677086,2
1586946921878,107.677086,2
1586946922850,107.677086,2
1586946923829,105.56113,2
1586946924817,105.56113,2
1586946925795,105.312256,2
1586946926773,105.28115,2
1586946927743,105.33394,2
1586946928729,105.34054,1
1586946929704,105.96636,2
1586946930679,105.96636,2
1586946931667,102.68736,1
1586946932646,99.401505,1
1586946933621,99.49077,1
1586946934599,99.43943,1
1586946935572,99.501144,1
1586946936547,99.501144,1
1586946937531,98.54108,1
1586946938521,98.73402,1
1586946939499,100.05275,1
1586946940478,100.29474,1
1586946941456,100.3811,1
1586946942434,100.3811,1
1586946943412,99.02282,1
1586946944393,99.11223,1
1586946945369,99.18201,1
1586946946350,99.14394,1
1586946947321,98.99584,1
1586946948299,98.99584,1
1586946949288,99.6805,1
1586946950267,97.11447,2
1586946951244,96.866394,2
1586946952217,96.89086,2
1586946953201,95.664696,2
1586946954170,95.664696,2
1586946955159,95.59736,1
1586946956129,95.67921,1
1586946957115,95.76216,1
1586946958086,95.00626,1
1586946959064,94.990555,1
1586946960042,94.990555,1
1586946961022,92.21567,1
1586946961998,92.72369,1
1586946962977,92.61464,1
1586946963954,92.51795,1
1586946964933,92.50587,1
1586946965910,92.50587,1
1586946966892,92.50436,1
1586946967864,93.0343,1
1586946968841,92.92582,1
1586946969821,93.31617,0
1586946970799,93.207405,1
1586946971774,93.207405,1
1586946972754,93.099976,1
1586946973733,93.08655,3
1586946974710,93.08487,3
1586946975687,96.82573,3
1586946976666,98.651535,2
1586946977644,98.651535,2
1586946978624,99.31807,2
1586946979599,99.77422,3
1586946980575,99.458405,3
1586946981552,99.36473,3
1586946982529,99.35302,3
1586946983508,99.35302,3
1586946984485,99.351555,2
1586946985460,98.91402,1
1586946986438,98.79374,1
1586946987418,98.77871,1
1586946988399,98.776825,1
1586946989368,98.776825,1
1586946990347,98.746445,1
1586946991326,98.72087,1
1586946992303,98.717674,1
1586946993282,98.71727,1
1586946994259,99.25376,1
1586946995228,99.25376,1
1586946996220,99.330894,1
1586946997196,99.35825,1
1586946998168,99.534454,0
1586946999152,99.509094,1
1586947000121,100.803444,1
1586947001100,100.803444,1
1586947002073,101.306725,1
1586947003051,103.66779,1
1586947004030,106.178894,1
1586947005002,108.88173,1
1586947005981,109.42934,1
1586947006957,109.42934,1
1586947007938,109.55841,1
1586947008916,109.523796,3
1586947009890,109.50035,3
1586947010868,116.66902,1
1586947011845,117.684364,2
1586947012819,117.684364,2
1586947013802,118.430176,2
1586947014773,119.86583,2
1586947015754,119.896996,2
1586947016736,121.7659,1
1586947017706,123.160675,2
1586947018682,123.160675,2
1586947019667,124.5493,2
1586947020643,125.87028,2
1586947021614,127.081085,2
1586947022600,128.3197,3
1586947023571,129.54813,3
1586947024544,129.54813,3
1586947025521,130.8094,3
1586947026506,132.03159,2
1586947027479,133.22343,2
1586947028450,133.95993,2
1586947029436,134.06403,2
1586947030414,134.06403,2
1586947031390,133.81491,1
1586947032366,133.60663,1
1586947033342,136.46538,1
1586947034314,136.71472,2
1586947035293,136.62555,2
1586947036268,136.62555,2
1586947037256,136.41231,2
1586947038230,136.21388,3
1586947039201,136.12524,3
1586947040184,136.04166,3
1586947041162,136.41528,3
1586947042140,136.41528,3
1586947043114,137.7311,3
1586947044092,139.16432,3
1586947045069,140.56241,3
1586947046043,142.56598,3
1586947047019,144.79817,3
1586947047997,144.79817,3
1586947048976,145.89708,1
1586947049956,147.05371,2
1586947050927,148.23314,1
1586947051905,148.28755,1
1586947052892,149.38426,1
1586947053865,149.38426,1
1586947054844,149.31029,1
1586947055815,149.10779,1
1586947056798,148.90526,1
1586947057768,149.37589,3
1586947058751,149.27869,3
1586947059730,149.27869,3
1586947060708,149.13391,3
1586947061679,146.31837,2
1586947062666,145.96355,1
1586947063644,145.91673,1
1586947064618,147.16525,1
1586947065588,147.16525,1
1586947066575,147.64412,1
1586947067552,148.03566,1
1586947068521,148.02904,1
1586947069509,148.63622,1
1586947070485,148.94612,1
1586947071462,148.94612,1
1586947072441,149.19937,1
1586947073420,149.43825,1
1586947074391,149.67148,1
1586947075379,149.90074,1
1586947076357,150.12657,1
1586947077332,150.12657,1
1586947078309,150.34918,1
1586947079291,150.56856,1
1586947080270,150.53416,2
1586947081244,150.72801,1
1586947082220,150.713,1
1586947083206,150.713,1
1586947084185,150.69348,1
1586947085164,150.63927,1
1586947086141,151.89896,1
1586947087118,150.5174,1
1586947088090,150.49544,3
1586947089076,150.49544,3
1586947090058,150.15369,3
1586947091036,149.37949,3
1586947092014,145.44592,3
1586947092994,144.62094,2
1586947093966,144.6652,1
1586947094954,144.6652,1
1586947095920,144.79604,1
1586947096906,145.3741,1
1586947097884,145.90674,1
1586947098857,146.20685,1
1586947099845,146.41599,1
1586947100823,146.41599,1
1586947101801,146.59137,1
1586947102777,146.75029,1
1586947103756,148.78905,1
1586947104734,149.00928,1
1586947105716,149.00183,1
1586947106692,149.00183,1
1586947107669,150.92685,1
1586947108649,151.74371,1
1586947109629,151.73195,1
1586947110606,151.70114,1
1586947111583,151.61267,1
1586947112555,151.61267,1
1586947113535,151.5297,1
1586947114515,151.58868,1
1586947115497,151.67801,1
1586947116477,151.7007,1
1586947117454,151.70058,1
1586947118429,151.70058,1
1586947119415,151.68936,1
1586947120392,151.67874,1
1586947121375,151.70428,1
1586947122356,151.73691,1
1586947123328,152.45854,1
1586947124312,152.45854,1
1586947125294,154.63635,1
1586947126265,155.31493,3
1586947127253,156.94656,1
1586947128223,157.00522,1
1586947129209,157.5094,1
1586947130181,157.5094,1
1586947131166,158.17792,1
1586947132138,158.12115,3
1586947133116,158.3637,3
1586947134101,161.00668,3
1586947135074,161.48363,3
1586947136059,161.48363,3
1586947137036,161.97136,1
1586947138017,161.97247,1
1586947138992,162.26744,3
1586947139974,162.51654,3
1586947140953,164.4842,3
1586947141934,164.4842,3
1586947142921,165.22388,2
1586947143899,165.33763,2
1586947144876,165.4278,1
1586947145853,165.45909,1
1586947146834,165.42795,2
1586947147812,165.42795,2
1586947148785,165.57402,2
1586947149771,166.10959,2
1586947150751,166.33844,2
1586947151733,166.50775,2
1586947152713,166.64532,2
1586947153684,166.64532,2
1586947154668,167.18733,2
1586947155638,167.43016,2
1586947156627,167.58351,2
1586947157607,168.15099,3
1586947158587,168.12741,2
1586947159567,168.12741,2
1586947160542,168.04413,3
1586947161520,167.56387,3
1586947162506,167.45564,3
1586947163484,166.92586,3
1586947164465,166.7272,2
1586947165438,166.7272,2
1586947166420,166.6045,2
1586947167403,166.58472,2
1586947168383,166.57845,2
1586947169359,166.63698,2
1586947170340,167.78087,2
1586947171308,167.78087,2
1586947172293,167.88017,2
1586947173282,167.85559,2
1586947174263,167.82097,2
1586947175242,167.88814,2
1586947176213,168.5378,2
1586947177192,168.5378,2
1586947178181,168.78893,1
1586947179163,169.44052,1
1586947180134,169.45976,1
1586947181122,169.4106,1
1586947182102,169.38391,1
1586947183084,169.38391,1
1586947184063,169.7099,1
1586947185046,169.73521,1
1586947186027,169.77176,1
1586947187007,169.83392,3
1586947187989,169.71303,3
