time,value
1576760436457,4753641.0
1576760436503,4736284.0
1576760436553,4666819.0
1576760436629,4644733.0
1576760436675,4596264.0
1576760436737,4577934.0
1576760436753,4531797.0
1576760436848,4483456.0
1576760436851,4477242.0
1576760436890,4436547.0
1576760436939,4377350.0
1576760436987,4352440.0
1576760437040,4288166.0
1576760437087,4190807.0
1576760437139,4111882.0
1576760437183,4060649.0
1576760437238,4017767.0
1576760437286,3982872.0
1576760437333,3971496.0
1576760437381,3973065.0
1576760437430,3945364.0
1576760437482,3905680.0
1576760437529,3925694.0
1576760437582,3868596.0
1576760437624,3831745.0
1576760437678,3858696.0
1576760437723,3895913.0
1576760437775,3952241.0
1576760437823,3919695.0
1576760437874,3899564.0
1576760437923,3921111.0
1576760437972,3928007.0
1576760438020,3917094.0
1576760438070,3909851.0
1576760438120,3911161.0
1576760438170,3892561.0
1576760438222,3864677.0
1576760438273,3863174.0
1576760438313,3923683.0
1576760438364,3981878.0
1576760438417,4014868.0
1576760438466,3999313.0
1576760438515,4016747.0
1576760438561,4028208.0
1576760438611,4039342.0
1576760438663,4037869.0
1576760438710,4037138.0
1576760438761,4024307.0
1576760438806,4019317.0
1576760438859,3996308.0
1576760438905,4001182.0
1576760438955,4053532.0
1576760439005,4089467.0
1576760439053,4101142.0
1576760439106,4095112.0
1576760439151,4094862.0
1576760439201,4096595.0
1576760439252,4095016.0
1576760439301,4074481.0
1576760439342,4060600.0
1576760439396,4041569.0
1576760439445,3986253.0
1576760439495,3927708.0
1576760439547,3877178.0
1576760439587,3914455.0
1576760439647,3943283.0
1576760439691,3940953.0
1576760439740,3932680.0
1576760439785,3908098.0
1576760439838,3878808.0
1576760439880,3859139.0
1576760439929,3812047.0
1576760439984,3746549.0
1576760440028,3695867.0
1576760440083,3660615.0
1576760440127,3638028.0
1576760440183,3626044.0
1576760440229,3613628.0
1576760440283,3600587.0
1576760440331,3576372.0
1576760440371,3562406.0
1576760440423,3505895.0
1576760440474,3445705.0
1576760440527,3405086.0
1576760440571,3369333.0
1576760440622,3346533.0
1576760440668,3327028.0
1576760440719,3297007.0
1576760440765,3283657.0
1576760440813,3279004.0
1576760440864,3242134.0
1576760440915,3177927.0
1576760440968,3127686.0
1576760441013,3090391.0
1576760441068,3069972.0
1576760441110,3061176.0
1576760441161,2997989.0
1576760441208,2987103.0
1576760441260,2984435.0
1576760441306,2982867.0
1576760441357,2948561.0
1576760441404,2897247.0
1576760441454,2858313.0
1576760441505,2835145.0
1576760441552,2825268.0
1576760441602,2814130.0
1576760441650,2799083.0
1576760441700,2788666.0
1576760441746,2790294.0
1576760441792,2794298.0
1576760441842,2762327.0
1576760441899,2709652.0
1576760441957,2671274.0
1576760441995,2649370.0
1576760442041,2642608.0
1576760442090,2641820.0
1576760442141,2636247.0
1576760442189,2630690.0
1576760442242,2632502.0
1576760442282,2638604.0
1576760442339,2621334.0
1576760442389,2570065.0
1576760442437,2540359.0
1576760442480,2534816.0
1576760442527,2547090.0
1576760442581,2550269.0
1576760442629,2546726.0
1576760442673,2547305.0
1576760442725,2554439.0
1576760442773,2567783.0
1576760442826,2551600.0
1576760442870,2502753.0
1576760442926,2485686.0
1576760442974,2496489.0
1576760443021,2509151.0
1576760443069,2506587.0
1576760443124,2507018.0
1576760443163,2514515.0
1576760443222,2527162.0
1576760443270,2543575.0
1576760443317,2538457.0
1576760443366,2502916.0
1576760443416,2483427.0
1576760443461,2487379.0
1576760443511,2500108.0
1576760443562,2507292.0
1576760443608,2513706.0
1576760443662,2523765.0
1576760443704,2536354.0
1576760443764,2548963.0
1576760443810,2550723.0
1576760443858,2521589.0
1576760443906,2506833.0
1576760443953,2516492.0
1576760444001,2531405.0
1576760444046,2543636.0
1576760444103,2554061.0
1576760444144,2561802.0
1576760444201,2576558.0
1576760444250,2594614.0
1576760444298,2601435.0
1576760444346,2570118.0
1576760444396,2552269.0
1576760444444,2557537.0
1576760444493,2576410.0
1576760444544,2586248.0
1576760444586,2591071.0
1576760444642,2598635.0
1576760444692,2606896.0
1576760444738,2618556.0
1576760444789,2623786.0
1576760444836,2594161.0
1576760444886,2572643.0
1576760444932,2571142.0
1576760444982,2583558.0
1576760445025,2600330.0
1576760445084,2605626.0
1576760445131,2610895.0
1576760445180,2619692.0
1576760445228,2632665.0
1576760445278,2648218.0
1576760445323,2630853.0
1576760445376,2606451.0
1576760445421,2606214.0
1576760445467,2619298.0
1576760445518,2637555.0
1576760445564,2645833.0
1576760445616,2652944.0
1576760445662,2659496.0
1576760445718,2671051.0
1576760445767,2687191.0
1576760445810,2692845.0
1576760445862,2671616.0
1576760445912,2657787.0
1576760445962,2663911.0
1576760446012,2679767.0
1576760446064,2689828.0
1576760446107,2694397.0
1576760446159,2699993.0
1576760446209,2704660.0
1576760446255,2713709.0
1576760446305,2724662.0
1576760446353,2703209.0
1576760446400,2682814.0
1576760446446,2676965.0
1576760446504,2691425.0
1576760446545,2708047.0
1576760446601,2712758.0
1576760446649,2713597.0
1576760446697,2718256.0
1576760446749,2727783.0
1576760446790,2741231.0
1576760446847,2726467.0
1576760446896,2701212.0
1576760446942,2693514.0
1576760446989,2705387.0
1576760447044,2721147.0
1576760447089,2726444.0
1576760447140,2728421.0
1576760447188,2734224.0
1576760447236,2745035.0
1576760447288,2756583.0
1576760447329,2761234.0
1576760447387,2740963.0
1576760447428,2725211.0
1576760447479,2728586.0
1576760447530,2745593.0
1576760447582,2756248.0
1576760447631,2755803.0
1576760447678,2752987.0
1576760447729,2752473.0
1576760447770,2756642.0
1576760447828,2758857.0
1576760447869,2740398.0
1576760447925,2717535.0
1576760447972,2714244.0
1576760448024,2722842.0
1576760448071,2730999.0
1576760448119,2724750.0
1576760448169,2727381.0
1576760448215,2731416.0
1576760448268,2740183.0
1576760448309,2752920.0
1576760448367,2750630.0
1576760448410,2745697.0
1576760448462,2753225.0
1576760448512,2775308.0
1576760448562,2798935.0
1576760448610,2822609.0
1576760448656,2846193.0
1576760448709,2884065.0
1576760448749,2936777.0
1576760448808,2991026.0
1576760448849,3028853.0
1576760448904,3057603.0
1576760448951,3088030.0
1576760449002,3124618.0
1576760449044,3163194.0
1576760449099,3180426.0
1576760449148,3174615.0
1576760449190,3147353.0
1576760449249,3106702.0
1576760449290,3075553.0
1576760449343,3050290.0
1576760449392,3014617.0
1576760449444,2967844.0
1576760449492,2942705.0
1576760449539,2930283.0
1576760449589,2919976.0
1576760449637,2908891.0
1576760449689,2896867.0
1576760449730,2890880.0
1576760449786,2887722.0
1576760449832,2882342.0
1576760449885,2853786.0
1576760449934,2820662.0
1576760449974,2802517.0
1576760450024,2805615.0
1576760450072,2834505.0
1576760450124,2872704.0
1576760450173,2934822.0
1576760450223,3004586.0
1576760450273,3080005.0
1576760450327,3157867.0
1576760450373,3211969.0
1576760450426,3262547.0
1576760450472,3309098.0
1576760450516,3355501.0
1576760450565,3399066.0
1576760450615,3445424.0
1576760450664,3497012.0
1576760450713,3524498.0
1576760450769,3525040.0
1576760450814,3511078.0
1576760450863,3496708.0
1576760450914,3507921.0
1576760450962,3586401.0
1576760451011,3570350.0
1576760451055,3502340.0
1576760451110,3438514.0
1576760451152,3433075.0
1576760451209,3429434.0
1576760451255,3463212.0
1576760451306,3476400.0
1576760451354,3476073.0
1576760451403,3464244.0
1576760451453,3391323.0
1576760451495,3343077.0
1576760451550,3203840.0
1576760451592,3202234.0
1576760451650,3370979.0
1576760451694,3439294.0
1576760451747,3405084.0
1576760451796,3403070.0
1576760451843,3400254.0
1576760451886,3333514.0
1576760451936,3311061.0
1576760451991,3372783.0
1576760452033,3273522.0
1576760452089,3346094.0
1576760452136,3362976.0
1576760452188,3294378.0
1576760452236,3265883.0
1576760452280,3219399.0
1576760452327,3210014.0
1576760452382,3195747.0
1576760452432,3189351.0
1576760452474,3175552.0
1576760452530,3210067.0
1576760452577,3240301.0
1576760452629,3226496.0
1576760452677,3232833.0
1576760452720,3225313.0
1576760452773,3251023.0
1576760452823,3271411.0
1576760452872,3307144.0
1576760452915,3364796.0
1576760452971,3560766.0
1576760453014,3682616.0
1576760453068,3764008.0
1576760453116,3723394.0
1576760453167,3813034.0
1576760453217,3847415.0
