"1573038261006","(-0.48182988, 0.14403129, 0.35261536)"
"1573038261006","(-0.27547038, 0.052723825, 0.3314352)"
"1573038261006","(-0.38885248, -0.38205433, 0.37994862)"
"1573038261073","(-0.4483478, -0.46569416, 0.3664894)"
"1573038261074","(-0.39761865, -0.39479503, 0.32421207)"
"1573038261115","(0.53643125, 0.2514819, 0.42080307)"
"1573038261147","(0.38940543, 0.24109548, 0.2560358)"
"1573038261155","(0.31214273, -0.50465095, 0.32116318)"
"1573038261228","(0.16813147, -0.66181, 0.73000526)"
"1573038261246","(-0.08549988, -0.08699876, 0.76925564)"
"1573038261262","(-0.36915684, 0.038271487, 0.2696457)"
"1573038261262","(-0.2705394, -0.4850967, -0.06374645)"
"1573038261274","(-0.14971316, -1.0048356, -0.09510231)"
"1573038261282","(-0.36024106, -0.62671167, 0.03775692)"
"1573038261288","(-0.30688393, -0.02046159, -0.15695477)"
"1573038261328","(-0.25573218, 0.1780769, -0.42661762)"
"1573038261328","(-0.13792801, 0.18065529, -0.46141624)"
"1573038261413","(-0.32040083, 0.53187495, -0.27227402)"
"1573038261425","(-0.1857351, 1.0710894, -0.4630022)"
"1573038261442","(0.3221466, 1.019262, -0.68075657)"
"1573038261445","(0.41993427, 0.63191915, -1.1586313)"
"1573038261448","(0.48947263, 0.27058178, -0.9622717)"
"1573038261454","(0.21961308, -0.23341995, -0.3840828)"
"1573038261470","(0.047375917, -0.23279053, 0.2637148)"
"1573038261515","(0.38249785, -0.13024217, 0.13792229)"
"1573038261529","(0.5105182, -4.529953E-6, -0.5722637)"
"1573038261530","(0.66485643, 0.67901874, -0.4977913)"
"1573038261552","(0.837963, 1.7770214, -0.7149248)"
"1573038261565","(0.648869, 1.4230703, 0.21609306)"
"1573038261585","(-0.21083641, -0.407346, 1.99718)"
"1573038261614","(-0.4467994, -0.90929925, 2.2372189)"
"1573038261625","(0.41478002, 0.2090658, 1.2904301)"
"1573038261646","(0.38819456, 1.4230925, 0.26902866)"
"1573038261665","(0.17639399, 1.0023118, 0.20919228)"
"1573038261683","(0.27233052, -0.56706953, 0.75210476)"
"1573038261712","(-0.16445506, -1.6893636, 1.5665293)"
"1573038261725","(-0.30188918, -0.69409895, 1.5371733)"
"1573038261748","(-0.061093807, 0.043692827, 0.17324257)"
"1573038261764","(-0.22549689, 0.34656703, -1.0979071)"
"1573038261785","(-1.0572296, -1.0687703, -0.20873737)"
"1573038261810","(-1.1618326, -0.94648355, 0.7570591)"
"1573038261824","(-0.8633791, -0.47919363, 1.1211538)"
"1573038261850","(-1.2247043, -1.756304, 0.22900105)"
"1573038261864","(-1.3445859, -2.0898213, 0.1786623)"
"1573038261885","(0.2809732, -0.7675445, 0.079351425)"
"1573038261906","(0.735116, -0.7518517, 0.33312798)"
"1573038261925","(0.79129446, -0.25554836, -0.12931442)"
"1573038261952","(0.85496116, 0.7111385, -1.1478901)"
"1573038261965","(-0.15800309, -0.3765784, 0.02541542)"
"1573038261985","(-0.44950294, 0.42855358, 1.4257584)"
"1573038262008","(-0.09985089, 1.27905, 0.6092949)"
"1573038262025","(-0.0645802, -0.4438585, 0.030269623)"
"1573038262054","(0.093375444, 0.007002592, -0.52141094)"
"1573038262065","(-0.029297352, -0.5785437, 0.15830421)"
"1573038262086","(-0.40407634, -1.2624147, 0.06793594)"
"1573038262106","(-0.12293887, -0.016979218, -1.0998898)"
"1573038262125","(1.7655914, 1.4448978, -2.5284128)"
"1573038262152","(0.35279703, -2.12967, -1.737885)"
"1573038262165","(-0.81336904, -2.6220589, 1.1624813)"
"1573038262191","(-0.20569658, 1.2431394, 2.4357252)"
"1573038262205","(-0.33324194, 1.7466283, 1.7644739)"
"1573038262224","(-1.045248, 0.7517534, 1.3649292)"
"1573038262250","(-0.92157245, 0.34686762, 1.1941509)"
"1573038262264","(-0.1903987, 0.5580729, 0.3934517)"
"1573038262294","(0.0026242733, 0.05494669, 0.32193756)"
"1573038262305","(-0.5826247, -0.14488012, 0.11473179)"
"1573038262326","(-1.1126773, -0.28187627, 0.17103767)"
"1573038262347","(-1.0344079, 0.21781057, 0.25131035)"
"1573038262365","(-1.0239115, 0.6143652, -0.05421734)"
"1573038262393","(-1.7020905, -0.35603517, -0.2320261)"
"1573038262406","(-2.7857873, 0.21777058, -0.47043324)"
"1573038262425","(-2.7383852, 1.1336968, -0.54473877)"
"1573038262447","(-3.6024017, 0.25930417, -1.3323774)"
"1573038262466","(-4.334881, -2.051079, -2.821301)"
"1573038262495","(-3.639325, -0.10525799, -2.4172497)"
"1573038262510","(-3.0504007, 0.85502505, -2.3092499)"
"1573038262525","(-2.0453, 0.9336679, -2.3473434)"
"1573038262548","(-1.0528309, 2.277135, -2.3660893)"
"1573038262565","(-0.6999896, 2.460162, -1.9317808)"
"1573038262592","(-0.7668494, 2.4112737, -1.7310386)"
"1573038262605","(-0.8662828, 2.2871115, -0.85931444)"
"1573038262626","(-0.6057304, 1.4302831, 0.38980865)"
"1573038262645","(0.034223557, 0.88645697, 1.1063094)"
"1573038262664","(0.60513365, -0.3862357, 1.0243354)"
"1573038262690","(0.79712343, -1.1839705, 0.19426584)"
"1573038262705","(0.98675466, -2.358004, 0.27361584)"
"1573038262730","(1.5090775, -2.7722611, 1.107286)"
"1573038262746","(2.1489446, -2.7755194, 1.2552156)"
"1573038262765","(2.3929677, -3.1293373, 0.72449446)"
"1573038262790","(2.4205132, -2.9735818, 0.17316914)"
"1573038262805","(2.5381255, -3.2798939, 0.14000654)"
"1573038262832","(2.7964814, -3.09686, 0.35835123)"
"1573038262844","(2.7349243, -1.9672556, 0.13659477)"
"1573038262895","(2.3639872, -2.0191927, -0.18416452)"
"1573038262906","(2.3684416, -1.9030623, -0.7032218)"
"1573038262908","(2.1258016, -1.2751789, -0.93592215)"
"1573038262988","(2.112556, -1.4099426, -0.52227926)"
"1573038262991","(2.0238154, -2.0203805, 0.018864155)"
"1573038263008","(1.337332, -1.67132, -0.3384943)"
"1573038263011","(0.9440646, -1.264019, -0.77258635)"
"1573038263014","(0.6109607, -0.70260286, -0.60609627)"
"1573038263093","(0.57931423, -0.3038373, -0.59857655)"
"1573038263104","(0.7724314, -0.033273697, -0.47198868)"
"1573038263118","(0.7139785, -0.30219698, -0.20332813)"
"1573038263122","(0.6171708, -0.6280103, -0.11971426)"
"1573038263132","(0.5904858, -0.9944596, 0.16224861)"
"1573038263135","(0.5064473, -1.0323272, 0.31907988)"
"1573038263151","(0.45694923, -1.0998459, 0.40562677)"
"1573038263169","(0.74964976, -0.5733981, -0.294003)"
"1573038263182","(0.43663836, -0.089337826, -0.54300785)"
"1573038263209","(0.09308982, -0.35077524, 0.11464262)"
"1573038263229","(-0.10424495, -0.0064997673, 0.51116514)"
"1573038263243","(-0.4961102, -0.12610006, 0.5282483)"
"1573038263270","(-1.0224352, -0.83078, 0.49804068)"
"1573038263283","(-1.9611611, -1.2981215, 0.9940624)"
"1573038263303","(-1.9721181, -1.1055899, 1.2597446)"
"1573038263326","(-1.2421083, 0.6798048, 1.0008183)"
"1573038263343","(-0.5313709, 1.6294179, 0.39544964)"
"1573038263373","(-0.37327075, 1.97579, 0.46479845)"
"1573038263382","(-0.07982135, 0.50595045, 0.20212412)"
"1573038263403","(-0.4308505, -1.017632, -0.14534521)"
"1573038263425","(-0.52708745, 0.030558586, -0.42946768)"
"1573038263444","(-0.033580303, 0.96950865, -0.87340736)"
"1573038263473","(0.2857237, 0.75374365, -0.6614027)"
"1573038263483","(0.22220635, 0.29855824, -0.5197935)"
"1573038263509","(0.122517586, 0.1340909, 2.89917E-4)"
"1573038263523","(-0.1399386, -0.09146404, 0.027956009)"
"1573038263543","(-0.27589846, -0.6865568, 0.114741325)"
"1573038263571","(-0.4893508, -0.8068204, 0.089295864)"
"1573038263582","(-0.054263353, -0.5067291, -0.1657319)"
"1573038263603","(0.16119385, -0.42385292, -0.29313183)"
"1573038263623","(0.023051023, 0.025745392, -0.408247)"
"1573038263643","(0.03373885, -0.74637127, 0.073283195)"
"1573038263670","(0.31207657, -1.0698056, 0.29145575)"
"1573038263683","(0.21529031, -0.2641077, 0.40632343)"
"1573038263707","(0.05006361, 0.36551428, -0.304173)"
"1573038263723","(-0.10420227, 1.0214605, -0.9666238)"
"1573038263743","(0.29335546, 1.497489, -1.3449173)"
"1573038263768","(0.8628247, 2.0035243, -1.2522771)"
"1573038263783","(1.1525588, 2.0608997, -0.8220279)"
"1573038263810","(1.109777, 1.1144524, -0.21459675)"
"1573038263823","(1.1982431, 0.32366657, 0.12865496)"
"1573038263843","(1.3691635, 0.28164053, -0.20209837)"
"1573038263866","(0.9396539, -0.5376787, -0.22959995)"
"1573038263883","(0.031072617, -2.8738046, -0.5442872)"
"1573038263915","(-0.08987522, -2.3819928, -1.4977891)"
"1573038263925","(-0.0907383, -0.49668264, -1.554143)"
"1573038263946","(-0.46522188, 1.2370763, -0.64453554)"
"1573038263964","(-0.5520196, 2.6147754, 0.15204668)"
"1573038263985","(-0.4636078, 2.4363189, 0.59150934)"
"1573038264018","(-0.5875387, 1.4406075, 0.53366184)"
"1573038264027","(-0.94663143, 0.83517456, 0.02956009)"
"1573038264046","(-1.95223, 0.19844818, -0.6415074)"
"1573038264065","(-3.1628132, -0.43982792, -1.1569633)"
"1573038264085","(-3.6718216, -1.0294738, -1.2779922)"
"1573038264115","(-3.244957, -1.6570973, -1.1966186)"
"1573038264126","(-2.492467, -2.237764, -0.9440227)"
"1573038264145","(-1.8737907, -2.756471, -0.5170468)"
"1573038264166","(-1.3950586, -3.1995316, -0.25165504)"
"1573038264186","(-1.3469324, -3.3086278, -0.32514435)"
"1573038264213","(-1.5451632, -3.290649, -0.48640376)"
"1573038264225","(-1.2928343, -3.095726, -0.670899)"
"1573038264258","(-0.8175154, -2.805368, -0.725204)"
"1573038264269","(-0.34184647, -2.6560054, -0.48715442)"
"1573038264289","(0.2028017, -2.4857068, -0.18466401)"
"1573038264313","(0.595438, -1.8317175, -0.11766422)"
"1573038264329","(1.2581005, -0.9863198, -0.053284764)"
"1573038264358","(1.9004002, -0.8102726, 0.15451276)"
"1573038264369","(1.7308855, -1.4810492, 0.6545428)"
"1573038264389","(1.4014378, -1.7701517, 0.83779335)"
"1573038264409","(1.051691, -1.9295069, 0.5651382)"
"1573038264436","(0.4055786, -2.217272, 0.49668705)"
"1573038264452","(-0.032255173, -2.4712486, 0.6688181)"
"1573038264472","(0.044056892, -2.3912725, 1.0964106)"
"1573038264485","(0.08626747, -2.0037436, 1.486854)"
"1573038264506","(0.11697197, -1.6014936, 1.4312949)"
"1573038264532","(0.4646759, -1.2908664, 1.3794028)"
"1573038264554","(0.79841995, -1.1303577, 1.2037244)"
"1573038264564","(1.0896626, -0.81713176, 1.0561641)"
"1573038264585","(1.230319, -0.51493907, 0.9217042)"
"1573038264609","(1.0939589, -0.33342028, 0.7448424)"
"1573038264629","(0.796299, -0.35614944, 0.3858378)"
"1573038264654","(0.28216553, -0.788496, 0.3774159)"
"1573038264664","(0.22384644, -0.77623343, 0.6300044)"
"1573038264690","(0.38052368, -0.50471497, 0.7248173)"
"1573038264709","(0.8326149, -0.02776599, 0.6729624)"
"1573038264729","(1.2120247, 0.114364386, 0.639024)"
"1573038264749","(1.1191659, 0.008895397, 0.15382433)"
"1573038264770","(1.2003841, 0.055855274, 0.117954016)"
"1573038264797","(1.2134027, 0.16517782, -0.05143428)"
"1573038264810","(1.0421591, 0.49203634, -0.1825571)"
"1573038264830","(0.8610544, 0.83554125, -0.22750854)"
"1573038264851","(0.52736855, 0.96163464, -0.15341496)"
"1573038264870","(-0.046256065, 1.032402, -0.1723733)"
"1573038264894","(-0.84547234, 0.8940048, -0.27311468)"
"1573038264910","(-1.6605787, 0.8232794, -0.22007728)"
"1573038264935","(-2.619361, 0.50652933, -0.010106802)"
"1573038264953","(-3.5362759, 0.06143284, 0.25851917)"
"1573038264976","(-4.0040073, -0.5998311, 0.2631781)"
"1573038264992","(-3.2702837, -0.5095606, 0.07956433)"
"1573038265012","(-1.6755219, -0.087629795, 0.014327645)"
"1573038265031","(-0.27654266, 0.24740124, 0.20473659)"
"1573038265051","(0.7226615, 0.60159254, 0.22752059)"
"1573038265070","(1.207005, 0.65673256, 0.44887745)"
"1573038265091","(1.1052408, 0.18464422, 0.582137)"
"1573038265110","(0.4635086, -0.27866697, 0.7957361)"
"1573038265129","(-0.8014488, -0.75227547, 0.75256956)"
"1573038265146","(-1.6959677, -1.128356, 0.48979688)"
"1573038265170","(-1.6109447, -0.8300681, 0.17186224)"
"1573038265193","(-1.2570295, -0.66332006, -0.07233429)"
"1573038265211","(-1.2158661, -0.56476593, -0.061677456)"
"1573038265239","(-1.1841326, -0.39248514, -0.007600546)"
"1573038265249","(-0.80714893, 0.20500183, -0.27463818)"
"1573038265270","(-0.079670906, 0.6111717, -0.37595248)"
"1573038265291","(0.40288067, 0.41765404, -0.26953554)"
"1573038265310","(0.77510166, 0.13049793, -0.2507813)"
"1573038265339","(0.8765006, 0.12167168, -0.26962125)"
"1573038265349","(0.89775896, 0.100343704, -0.34848046)"
"1573038265371","(0.9982176, -0.056720734, -0.583552)"
"1573038265388","(0.9769659, -0.120006084, -0.7070211)"
"1573038265410","(0.9263501, -0.02011633, -0.79506314)"
"1573038265438","(0.686079, 0.13862705, -0.92315114)"
"1573038265458","(0.45557785, 0.33584738, -0.9085933)"
"1573038265475","(0.1483059, 0.39399529, -0.7948278)"
"1573038265487","(-0.4297819, 0.36135435, -0.8240771)"
"1573038265511","(-1.0938749, 0.4152441, -0.9128405)"
"1573038265534","(-1.5078306, 0.4543929, -0.88671553)"
"1573038265551","(-1.5523443, 0.39780855, -0.9222549)"
"1573038265571","(-1.8571901, 0.3143146, -0.9628308)"
"1573038265591","(-2.1933126, 0.119106054, -1.0155561)"
"1573038265611","(-2.402567, -0.14907074, -0.9966425)"
"1573038265633","(-2.4357758, -0.5129669, -0.8649943)"
"1573038265647","(-1.7472792, -0.98623896, -0.32412207)"
"1573038265665","(-0.23371696, -1.5947685, 0.25916636)"
"1573038265690","(1.4382386, -1.5796008, 0.21691358)"
"1573038265711","(2.6737232, -0.9655373, 5.92947E-4)"
"1573038265732","(2.703803, -0.33357382, 0.04967487)"
"1573038265751","(1.8077769, 0.0038712025, 0.18776226)"
"1573038265777","(0.7863827, 0.14836478, 0.2635014)"
"1573038265790","(-0.19338131, -0.080112696, 0.53211606)"
