time,value
1583191189811,180
1583191190757,179
1583191191883,179
1583191192791,179
1583191193773,180
1583191194757,181
1583191195810,180
1583191196888,179
1583191197826,179
1583191198767,178
1583191199850,178
1583191200793,178
1583191201880,178
1583191202819,179
1583191203808,179
1583191204842,178
1583191205833,177
1583191206772,176
1583191207813,177
1583191208801,177
1583191209798,177
1583191210873,176
1583191211772,174
1583191212767,173
1583191213796,174
1583191214831,175
1583191215778,175
1583191216767,174
1583191217804,0
1583191218797,0
1583191219783,171
1583191220863,171
1583191221763,171
1583191222798,171
1583191223792,171
1583191224828,171
1583191225815,171
1583191226848,172
1583191227792,172
1583191228874,173
1583191229773,174
1583191230766,175
1583191231798,176
1583191232882,175
1583191233773,174
1583191234811,174
1583191235759,174
1583191236882,175
1583191237871,176
1583191238863,176
1583191239763,176
1583191240797,176
1583191241793,176
1583191242823,178
1583191243769,179
1583191244847,179
1583191245837,179
1583191246872,178
1583191247862,178
1583191248764,178
1583191249796,179
1583191250834,179
1583191251777,180
1583191252812,179
1583191253804,179
1583191254838,178
1583191255872,178
1583191256770,177
1583191257763,177
1583191258796,177
1583191259788,177
1583191260821,178
1583191261771,179
1583191262847,179
1583191263837,179
1583191264782,179
1583191265774,178
1583191266809,177
1583191267799,176
1583191268779,175
1583191269808,174
1583191270767,174
1583191271835,175
1583191272791,175
1583191273872,175
1583191274863,174
1583191275806,173
1583191276843,173
1583191277836,172
1583191278869,172
1583191279813,172
1583191280757,173
1583191281793,174
1583191282876,175
1583191283851,176
1583191284771,177
1583191285798,178
1583191286886,178
1583191287779,177
1583191288772,176
1583191289804,174
1583191290842,173
1583191291784,174
1583191292870,175
1583191293808,175
1583191294890,175
1583191295789,175
1583191296783,175
1583191297814,176
1583191298764,177
1583191299838,179
1583191300876,179
1583191301772,180
1583191302807,179
1583191303800,179
1583191304788,179
1583191305822,179
1583191306771,179
1583191307805,180
1583191308844,181
1583191309785,180
1583191310781,179
1583191311804,179
1583191312793,179
1583191313784,179
1583191314821,180
1583191315768,180
1583191316803,181
1583191317836,181
1583191318872,182
1583191319863,181
1583191320766,181
1583191321798,181
1583191322829,181
1583191323822,180
1583191324811,179
1583191325757,178
1583191326842,178
1583191327860,179
1583191328864,179
1583191329852,178
1583191330803,178
1583191331790,178
1583191332829,178
1583191333772,178
1583191334847,178
1583191335843,177
1583191336783,177
1583191337908,177
1583191338807,177
1583191339889,176
1583191340787,175
1583191341778,174
1583191342814,175
1583191343806,176
1583191344844,177
1583191345877,178
1583191346777,178
1583191347769,177
1583191348795,175
1583191349840,174
1583191350778,174
1583191351815,173
1583191352757,173
1583191353844,173
1583191354783,172
1583191355773,172
1583191356763,172
1583191357890,172
1583191358788,173
1583191359823,174
1583191360858,175
1583191361848,176
1583191362794,177
1583191363874,178
1583191364773,179
1583191365769,179
1583191366844,180
1583191367795,180
1583191368869,181
1583191369772,181
1583191370753,182
1583191371880,183
1583191372783,185
1583191373861,186
1583191374766,185
1583191375798,183
1583191376834,181
1583191377829,179
1583191378861,178
1583191379803,178
1583191380843,179
1583191381828,181
1583191382865,184
1583191383809,186
1583191384888,188
1583191385789,189
1583191386781,190
1583191387810,190
1583191388791,189
1583191389843,189
1583191390924,190
1583191391775,192
1583191392853,193
1583191393797,194
1583191394786,195
1583191395822,195
1583191396770,195
1583191397758,195
1583191398889,194
1583191399784,194
1583191400774,193
1583191401764,193
1583191402890,193
1583191403788,194
1583191404865,195
1583191405768,195
1583191406846,196
1583191407781,196
1583191408827,197
1583191409776,198
1583191410766,198
1583191411887,198
1583191412836,197
1583191413777,195
1583191414815,194
1583191415805,193
1583191416842,193
1583191417783,193
1583191418865,193
1583191419854,192
1583191420798,192
1583191421789,191
1583191422781,190
1583191423860,190
1583191424891,190
1583191425796,191
1583191426878,191
1583191427772,192
1583191428763,192
1583191429797,192
1583191430788,192
1583191431783,192
1583191432815,191
1583191433759,191
1583191434791,190
1583191435871,190
1583191436862,189
1583191437808,189
1583191438799,189
1583191439797,188
1583191440866,187
1583191441771,187
1583191442804,187
1583191443838,185
1583191444876,184
1583191445818,183
1583191446767,183
1583191447889,184
1583191448878,184
1583191449823,184
1583191450813,183
1583191451758,182
1583191452885,180
1583191453876,180
1583191454775,180
