time,x,y,z
1582913613362,0.13056745,0.18373115,-0.82679033
1582913613362,0.12792452,0.18823326,-0.8277713
1582913613366,0.12784772,0.19196151,-0.8283786
1582913613382,0.12862207,0.19270568,-0.82797444
1582913613531,0.1278131,0.19383897,-0.8275254
1582913613546,0.12611651,0.19619349,-0.82756793
1582913613577,0.124379985,0.19829969,-0.828385
1582913613583,0.12311799,0.19970371,-0.8292768
1582913613620,0.1224718,0.20010394,-0.8295744
1582913613620,0.1216217,0.20052613,-0.8299058
1582913613621,0.12102588,0.20135614,-0.8297799
1582913613638,0.12037013,0.20231684,-0.8289676
1582913613638,0.12009855,0.203798,-0.8284524
1582913613638,0.12032051,0.20463976,-0.82854146
1582913613638,0.120729506,0.20520915,-0.82774615
1582913613640,0.120222874,0.2078577,-0.82517564
1582913613640,0.11802588,0.21316348,-0.8212917
1582913613677,0.11367356,0.2216791,-0.8161212
1582913613694,0.10536307,0.2342315,-0.8082809
1582913613694,0.091308944,0.25251547,-0.7974098
1582913613716,0.072141595,0.27652317,-0.7842049
1582913613729,0.049769655,0.30467543,-0.7684289
1582913613753,0.024940329,0.3360826,-0.7500145
1582913613769,-0.0016266603,0.36980796,-0.7291134
1582913613789,-0.02983842,0.40440974,-0.70669085
1582913613813,-0.057453018,0.4384883,-0.6824545
1582913613829,-0.08325345,0.4712119,-0.6576303
1582913613857,-0.107429646,0.49931666,-0.634697
1582913613869,-0.13255759,0.5235816,-0.6116169
1582913613893,-0.15970793,0.5469493,-0.58754396
1582913613908,-0.18701088,0.56932557,-0.5646265
1582913613934,-0.21163788,0.58600366,-0.5479116
1582913613963,-0.23363416,0.5960207,-0.53911793
1582913613968,-0.25614417,0.6014695,-0.53249896
1582913614010,-0.2812147,0.6082414,-0.52487165
1582913614016,-0.3049734,0.61142874,-0.5212621
1582913614070,-0.32062513,0.6054925,-0.5276356
1582913614086,-0.32746068,0.5912474,-0.54387933
1582913614094,-0.33053043,0.57489455,-0.56263393
1582913614098,-0.3380132,0.55858266,-0.57784593
1582913614153,-0.3512133,0.5438065,-0.58874243
1582913614171,-0.3664971,0.53091836,-0.5988578
1582913614175,-0.3793538,0.5183438,-0.609883
1582913614180,-0.38993698,0.5052755,-0.62229264
1582913614190,-0.40249112,0.49363086,-0.63283855
1582913614211,-0.41665944,0.48382187,-0.6410584
1582913614228,-0.42376453,0.46677223,-0.65526736
1582913614247,-0.41508454,0.43369126,-0.6796057
1582913614267,-0.40349564,0.39843524,-0.70144635
1582913614291,-0.41029128,0.38348562,-0.7076397
1582913614310,-0.43823096,0.40285742,-0.69518924
1582913614326,-0.46558037,0.42721674,-0.6805354
1582913614347,-0.47419873,0.42292508,-0.6815394
1582913614367,-0.47289777,0.40082723,-0.69291484
1582913614394,-0.47568232,0.38645637,-0.69985425
1582913614407,-0.48208287,0.3817471,-0.70088613
1582913614427,-0.48784614,0.37845743,-0.69981056
1582913614447,-0.49335513,0.376611,-0.698099
1582913614467,-0.49597976,0.3726095,-0.6976547
1582913614491,-0.4954019,0.36603168,-0.69855875
1582913614507,-0.49678344,0.36418855,-0.6965766
1582913614531,-0.5013777,0.36948895,-0.6910006
1582913614547,-0.5050391,0.37249058,-0.68623984
1582913614566,-0.506087,0.36828354,-0.68503267
1582913614589,-0.5044368,0.3596106,-0.6869735
1582913614609,-0.50317615,0.35238072,-0.68841994
1582913614638,-0.50554293,0.35176867,-0.6866332
1582913614648,-0.5088838,0.35429457,-0.6842329
1582913614670,-0.5087619,0.35163856,-0.6843665
1582913614689,-0.50697523,0.3451898,-0.686408
1582913614709,-0.506769,0.33960712,-0.6880958
1582913614735,-0.50806564,0.33566234,-0.68931186
1582913614749,-0.50857884,0.331113,-0.6911091
1582913614769,-0.5075508,0.32409942,-0.69389105
1582913614789,-0.5060574,0.3160072,-0.69671094
1582913614809,-0.5061091,0.31096485,-0.6981723
1582913614832,-0.5079194,0.31019017,-0.6982197
1582913614849,-0.50893384,0.30945063,-0.6984342
1582913614878,-0.5074036,0.3046221,-0.70016164
1582913614891,-0.5048078,0.29705265,-0.7028516
1582913614910,-0.5035587,0.291472,-0.70501554
1582913614931,-0.50372696,0.2890556,-0.7064492
1582913614951,-0.50349045,0.2875714,-0.7078526
1582913614979,-0.5020603,0.28520283,-0.70969677
1582913614990,-0.5004215,0.28266606,-0.71171105
1582913615011,-0.4993212,0.28158197,-0.71343976
1582913615030,-0.498838,0.28228,-0.71440375
1582913615051,-0.49828452,0.28337097,-0.7148879
1582913615079,-0.49707177,0.28304866,-0.715599
1582913615089,-0.49557456,0.28107625,-0.71683514
1582913615111,-0.4947495,0.27944133,-0.71800727
1582913615131,-0.4944852,0.27887928,-0.7188073
1582913615151,-0.49418274,0.2782999,-0.7195158
1582913615173,-0.49377605,0.27677995,-0.7203602
1582913615196,-0.49359393,0.27501732,-0.7214753
1582913615216,-0.49350125,0.2735837,-0.7228714
1582913615240,-0.49277434,0.27167773,-0.724677
1582913615249,-0.49143833,0.2688648,-0.7265049
