time,value,value2,value3
1582914351635,5266352.0,5578804.0,0.0
1582914351667,5245163.0,5550764.0,0.0
1582914351723,5217280.0,5513243.0,0.0
1582914351753,5197673.0,5460098.0,0.0
1582914351801,5137405.0,5374967.0,0.0
1582914351851,5115233.0,5349917.0,0.0
1582914351896,5081402.0,5296199.0,0.0
1582914351947,5046972.0,5252372.0,0.0
1582914351996,4993533.0,5198936.0,0.0
1582914352045,4952805.0,5151055.0,0.0
1582914352094,4910348.0,5117131.0,0.0
1582914352142,4873406.0,5094477.0,0.0
1582914352196,4859014.0,5078828.0,0.0
1582914352240,4845151.0,5054946.0,0.0
1582914352287,4825035.0,5033809.0,0.0
1582914352338,4824380.0,5033039.0,0.0
1582914352386,4812970.0,5025345.0,0.0
1582914352436,4804039.0,5004896.0,0.0
1582914352484,4823883.0,5000517.0,0.0
1582914352536,4771407.0,4953641.0,0.0
1582914352581,4738694.0,4926327.0,0.0
1582914352633,4712372.0,4902855.0,0.0
1582914352680,4722480.0,4918865.0,0.0
1582914352729,4688650.0,4871640.0,0.0
1582914352782,4669303.0,4856389.0,0.0
1582914352828,4671260.0,4862029.0,0.0
1582914352875,4677851.0,4857054.0,0.0
1582914352925,4675285.0,4852792.0,0.0
1582914352974,4644417.0,4831937.0,0.0
1582914353024,4704853.0,4919052.0,0.0
1582914353073,4764294.0,4977605.0,0.0
1582914353122,4704920.0,4911227.0,0.0
1582914353169,4712078.0,4890640.0,0.0
1582914353216,4726755.0,4890594.0,0.0
1582914353263,4784861.0,4894984.0,0.0
1582914353314,4793602.0,4883563.0,0.0
1582914353365,4773916.0,4870146.0,0.0
1582914353415,4728382.0,4846346.0,0.0
1582914353463,4761918.0,4916028.0,0.0
1582914353511,4788886.0,4948610.0,0.0
1582914353559,4736184.0,4898557.0,0.0
1582914353609,4744766.0,4941194.0,0.0
1582914353654,4815256.0,5024434.0,0.0
1582914353706,4740006.0,4995705.0,0.0
1582914353755,4723114.0,4968892.0,0.0
1582914353804,4735020.0,4954682.0,0.0
1582914353852,4784997.0,4964140.0,0.0
1582914353895,4810416.0,4949239.0,0.0
1582914353950,4797220.0,4924902.0,0.0
1582914354000,4776608.0,4909465.0,0.0
1582914354040,4811070.0,4946694.0,0.0
1582914354098,4853711.0,4992062.0,0.0
1582914354144,4821000.0,4955417.0,0.0
1582914354195,4822332.0,4977768.0,0.0
1582914354239,4790471.0,4997235.0,0.0
1582914354293,4992991.0,5138969.0,0.0
1582914354336,4877761.0,5101379.0,0.0
1582914354388,4829196.0,5044939.0,0.0
1582914354435,4846112.0,5038365.0,0.0
1582914354479,4881028.0,5032947.0,0.0
1582914354531,4938345.0,5062387.0,0.0
1582914354579,4943160.0,5046796.0,0.0
1582914354629,4936976.0,5048466.0,0.0
1582914354677,4959760.0,5076387.0,0.0
1582914354727,5004275.0,5141621.0,0.0
1582914354777,5034918.0,5194403.0,0.0
1582914354825,4986140.0,5181068.0,0.0
1582914354879,5071587.0,5324401.0,0.0
1582914354925,5303417.0,5469171.0,0.0
1582914354975,5151154.0,5483243.0,0.0
1582914355019,5058527.0,5455872.0,0.0
1582914355071,5048815.0,5483629.0,0.0
1582914355115,5149505.0,5588391.0,0.0
1582914355169,5267065.0,5585739.0,0.0
1582914355219,5279989.0,5538352.0,0.0
1582914355261,5177195.0,5488417.0,0.0
1582914355315,5192380.0,5502126.0,0.0
1582914355362,5139023.0,5430110.0,0.0
1582914355413,5110393.0,5364712.0,0.0
1582914355456,5109692.0,5376940.0,0.0
1582914355510,5076100.0,5374663.0,0.0
1582914355560,5120603.0,5447732.0,0.0
1582914355607,5170864.0,5481270.0,0.0
1582914355657,5129943.0,5428931.0,0.0
1582914355705,5102275.0,5345433.0,0.0
1582914355754,5041781.0,5222173.0,0.0
1582914355797,5025974.0,5204190.0,0.0
1582914355851,5001992.0,5193247.0,0.0
1582914355896,4999617.0,5211885.0,0.0
1582914355949,4994145.0,5217561.0,0.0
1582914355998,4968874.0,5182038.0,0.0
1582914356045,4935178.0,5152820.0,0.0
1582914356096,4924267.0,5144212.0,0.0
1582914356144,4911772.0,5123812.0,0.0
1582914356193,4911502.0,5111468.0,0.0
1582914356235,4888616.0,5080498.0,0.0
1582914356290,4866759.0,5036380.0,0.0
1582914356340,4807702.0,4951728.0,0.0
1582914356387,4766951.0,4894191.0,0.0
1582914356432,4736591.0,4861668.0,0.0
1582914356480,4700635.0,4845481.0,0.0
1582914356534,4671575.0,4823889.0,0.0
1582914356581,4642980.0,4799005.0,0.0
1582914356631,4623565.0,4782363.0,0.0
1582914356678,4624142.0,4786765.0,0.0
1582914356722,4648374.0,4815540.0,0.0
1582914356772,4652511.0,4833384.0,0.0
1582914356826,4631027.0,4825350.0,0.0
1582914356874,4614068.0,4806467.0,0.0
1582914356921,4580067.0,4743417.0,0.0
1582914356972,4532634.0,4684481.0,0.0
1582914357018,4498058.0,4653370.0,0.0
1582914357069,4470672.0,4639217.0,0.0
1582914357118,4449243.0,4631755.0,0.0
1582914357166,4426674.0,4623416.0,0.0
1582914357215,4413332.0,4610255.0,0.0
1582914357260,4394778.0,4598297.0,0.0
1582914357314,4381413.0,4593884.0,0.0
1582914357358,4366770.0,4590963.0,0.0
1582914357411,4356774.0,4585965.0,0.0
1582914357461,4346825.0,4571054.0,0.0
1582914357508,4314396.0,4523782.0,0.0
1582914357557,4269868.0,4475832.0,0.0
1582914357605,4231322.0,4440634.0,0.0
1582914357654,4199141.0,4417139.0,0.0
1582914357698,4179909.0,4408252.0,0.0
1582914357752,4165469.0,4401387.0,0.0
1582914357796,4157667.0,4399179.0,0.0
1582914357849,4145694.0,4392743.0,0.0
1582914357899,4137451.0,4389206.0,0.0
1582914357946,4131368.0,4387758.0,0.0
1582914357996,4126608.0,4385328.0,0.0
1582914358038,4127975.0,4386870.0,0.0
1582914358089,4110088.0,4346628.0,0.0
1582914358138,4083831.0,4326156.0,0.0
1582914358185,4071982.0,4325025.0,0.0
1582914358236,4072017.0,4323542.0,0.0
1582914358284,4071915.0,4330384.0,0.0
1582914358336,4085359.0,4347177.0,0.0
1582914358385,4090821.0,4362814.0,0.0
1582914358434,4098068.0,4377774.0,0.0
1582914358480,4107757.0,4388331.0,0.0
1582914358531,4113038.0,4395150.0,0.0
1582914358579,4116916.0,4403569.0,0.0
1582914358629,4125454.0,4415597.0,0.0
1582914358678,4132362.0,4418469.0,0.0
1582914358726,4125238.0,4402366.0,0.0
1582914358776,4110145.0,4388727.0,0.0
1582914358818,4098442.0,4377270.0,0.0
1582914358873,4092483.0,4378426.0,0.0
1582914358922,4095004.0,4383739.0,0.0
1582914358969,4097377.0,4392733.0,0.0
1582914359021,4104275.0,4404492.0,0.0
1582914359068,4109374.0,4409677.0,0.0
1582914359117,4118070.0,4416858.0,0.0
1582914359164,4125657.0,4424729.0,0.0
1582914359214,4131390.0,4430126.0,0.0
1582914359258,4134985.0,4431993.0,0.0
1582914359312,4137055.0,4418096.0,0.0
1582914359356,4122502.0,4400604.0,0.0
1582914359405,4112280.0,4389451.0,0.0
1582914359458,4112778.0,4390513.0,0.0
1582914359506,4116079.0,4395664.0,0.0
1582914359557,4119688.0,4401783.0,0.0
1582914359602,4131480.0,4413635.0,0.0
1582914359653,4139282.0,4418178.0,0.0
1582914359701,4147378.0,4426435.0,0.0
1582914359750,4157374.0,4433372.0,0.0
1582914359800,4166814.0,4442642.0,0.0
1582914359848,4177127.0,4452337.0,0.0
1582914359896,4182544.0,4446438.0,0.0
1582914359938,4177454.0,4428455.0,0.0
1582914359994,4166442.0,4412504.0,0.0
1582914360040,4165323.0,4408731.0,0.0
1582914360085,4165063.0,4417689.0,0.0
1582914360135,4170886.0,4420480.0,0.0
1582914360188,4179468.0,4426854.0,0.0
1582914360237,4186975.0,4432344.0,0.0
1582914360285,4196746.0,4436140.0,0.0
1582914360336,4202433.0,4441486.0,0.0
1582914360381,4206876.0,4443752.0,0.0
1582914360432,4212156.0,4446917.0,0.0
1582914360482,4221167.0,4449544.0,0.0
1582914360530,4219619.0,4433300.0,0.0
1582914360579,4211557.0,4418295.0,0.0
