time,value,value2,value3
1577109776474,4612870.0,4215783.0,0.0
1577109776517,4589244.0,4220881.0,0.0
1577109776555,4559546.0,4223975.0,0.0
1577109776603,4566182.0,4239340.0,0.0
1577109776653,4553409.0,4245923.0,0.0
1577109776699,4544463.0,4235557.0,0.0
1577109776754,4516356.0,4210688.0,0.0
1577109776937,4491087.0,4206413.0,0.0
1577109776937,4438680.0,4200946.0,0.0
1577109776938,4270616.0,4204828.0,0.0
1577109777062,4269190.0,4220709.0,0.0
1577109777062,4277274.0,4219025.0,0.0
1577109777063,4330014.0,4223251.0,0.0
1577109777311,4214806.0,4205184.0,0.0
1577109777313,4233301.0,4227182.0,0.0
1577109777314,4230400.0,4242213.0,0.0
1577109777370,4224969.0,4253526.0,0.0
1577109777398,4229453.0,4252923.0,0.0
1577109777463,4219966.0,4234809.0,0.0
1577109777481,4225261.0,4230093.0,0.0
1577109777532,4230223.0,4242423.0,0.0
1577109777581,4236038.0,4257297.0,0.0
1577109777633,4237815.0,4269665.0,0.0
1577109777677,4245660.0,4269541.0,0.0
1577109777727,4246784.0,4272231.0,0.0
1577109777779,4246471.0,4272686.0,0.0
1577109777830,4247948.0,4272783.0,0.0
1577109777874,4253691.0,4280203.0,0.0
1577109777927,4257810.0,4284808.0,0.0
1577109777971,4258850.0,4294203.0,0.0
1577109778025,4251765.0,4295395.0,0.0
1577109778076,4217366.0,4289953.0,0.0
1577109778120,4224138.0,4266643.0,0.0
1577109778171,4241196.0,4259520.0,0.0
1577109778218,4239388.0,4268780.0,0.0
1577109778270,4252298.0,4283555.0,0.0
1577109778313,4250778.0,4298059.0,0.0
1577109778363,4255479.0,4317294.0,0.0
1577109778411,4266955.0,4329747.0,0.0
1577109778460,4292918.0,4338136.0,0.0
1577109778513,4398494.0,4344754.0,0.0
1577109778558,4519434.0,4385052.0,0.0
1577109778608,5027171.0,4434473.0,0.0
1577109778656,6235582.0,4628246.0,0.0
1577109778704,5773366.0,4443564.0,0.0
1577109778754,4399221.0,4319750.0,0.0
1577109778804,3910792.0,4330151.0,0.0
1577109778852,3691371.0,4319282.0,0.0
1577109778902,3725076.0,4325583.0,0.0
1577109778953,3764376.0,4339217.0,0.0
1577109778998,3764439.0,4350982.0,0.0
1577109779048,3810241.0,4313633.0,0.0
1577109779095,3878377.0,4313584.0,0.0
1577109779145,3954182.0,4340740.0,0.0
1577109779194,4016574.0,4347458.0,0.0
1577109779242,4094073.0,4384708.0,0.0
1577109779293,4213225.0,4461250.0,0.0
1577109779344,4266059.0,4553399.0,0.0
1577109779387,4351006.0,4653828.0,0.0
1577109779438,4430701.0,4681021.0,0.0
