"1572977506658","(0.23948696, -0.14932394, -0.492424)"
"1572977506672","(0.23953326, -0.14979611, -0.49207985)"
"1572977506690","(0.23899262, -0.14981249, -0.49197513)"
"1572977506696","(0.2388403, -0.14988749, -0.4918235)"
"1572977506696","(0.239011, -0.14987348, -0.49172014)"
"1572977506816","(0.23969617, -0.1498528, -0.49184597)"
"1572977506835","(0.23971651, -0.15004481, -0.49207878)"
"1572977506860","(0.23919858, -0.1502099, -0.49224067)"
"1572977506895","(0.23876172, -0.15025416, -0.49230915)"
"1572977506897","(0.23853321, -0.15014249, -0.49232998)"
"1572977506899","(0.23866825, -0.1500319, -0.49248052)"
"1572977506919","(0.23846112, -0.14998083, -0.4928412)"
"1572977506923","(0.23770553, -0.14999248, -0.49321616)"
"1572977506925","(0.2367315, -0.15006863, -0.49323675)"
"1572977506927","(0.23585437, -0.14997151, -0.49317044)"
"1572977506933","(0.23501487, -0.14994903, -0.4931331)"
"1572977506939","(0.23388349, -0.14974779, -0.4935403)"
"1572977506976","(0.23201394, -0.14953089, -0.49394804)"
"1572977507000","(0.22889258, -0.14907348, -0.49432006)"
"1572977507015","(0.22563843, -0.14874797, -0.49461916)"
"1572977507018","(0.22322251, -0.14909619, -0.49445364)"
"1572977507028","(0.22165255, -0.14959839, -0.4942196)"
"1572977507048","(0.22055559, -0.15000653, -0.49432528)"
"1572977507065","(0.21988115, -0.15036054, -0.4942581)"
"1572977507085","(0.21931393, -0.15044224, -0.4943837)"
"1572977507116","(0.21889798, -0.1503107, -0.4944745)"
"1572977507125","(0.21857263, -0.15002824, -0.49452168)"
"1572977507149","(0.21860941, -0.14983845, -0.49440238)"
"1572977507168","(0.21894753, -0.14995539, -0.49428025)"
"1572977507187","(0.21914704, -0.15015338, -0.4941519)"
"1572977507213","(0.21866725, -0.14978608, -0.4940752)"
"1572977507227","(0.21773766, -0.14957036, -0.49416298)"
"1572977507249","(0.2166477, -0.14998089, -0.49388266)"
"1572977507268","(0.21590923, -0.15011086, -0.4930992)"
"1572977507287","(0.21516334, -0.14935632, -0.4893671)"
"1572977507308","(0.21319327, -0.14936323, -0.48438418)"
"1572977507326","(0.21041703, -0.14861535, -0.48220673)"
"1572977507356","(0.20815499, -0.14822404, -0.4814336)"
"1572977507368","(0.20638575, -0.14741272, -0.48049563)"
"1572977507388","(0.20501988, -0.14624362, -0.48023102)"
"1572977507408","(0.20467925, -0.14529878, -0.47964907)"
