time,x,y,z
1586704081878,-0.0019496083,-0.48550022,-0.07004452
1586704081879,-0.05412692,-0.47288194,-0.06962681
1586704081894,-0.05945176,-0.39830357,-0.053300858
1586704081895,-0.02577138,-0.31574708,-0.052113533
1586704081895,-0.019239604,-0.20034662,-0.051558495
1586704081895,-0.03996879,-0.274471,-0.016290665
1586704081940,0.00874418,-0.18472597,-0.027946472
1586704081950,0.07125789,-0.15919179,-0.038817406
1586704081953,0.013318479,-0.04666692,-0.0584383
1586704081962,-0.044374347,0.088113874,-0.055137634
1586704081982,-0.06510675,-0.13905671,-0.06585598
1586704082001,-0.07319939,-0.34591466,-0.030834198
1586704082020,-0.049555004,-0.28102845,-0.038437843
1586704082042,0.023964882,-0.19147232,0.008872032
1586704082061,0.026812792,-0.027232438,-0.028079987
1586704082082,-0.0071867704,-0.09146938,-0.03140354
1586704082104,-0.01159215,-0.17157589,-0.030010223
1586704082122,0.044017196,-0.059254497,-0.0012140274
1586704082141,-0.0011348128,0.030355915,-0.051894188
1586704082161,0.060509324,-0.3510821,-0.07271004
1586704082182,0.033747375,-0.12524186,-0.023665428
1586704082204,0.006113112,0.20606704,-0.022983551
1586704082222,-0.008089781,0.08282989,0.056212425
1586704082241,0.01730299,-0.3292806,0.012792587
1586704082261,-0.07160032,-0.01413314,0.039875984
1586704082282,-0.1208238,0.39957654,-0.07831955
1586704082304,-0.14146215,0.672109,-0.124014854
1586704082322,-0.09153414,0.11736566,0.0541296
1586704082342,0.08089453,-0.8705072,0.08849239
1586704082361,0.0502612,-0.5296224,0.13642979
1586704082382,0.03715229,1.001958,-0.12568474
1586704082405,0.10476303,1.1015953,-0.20604134
1586704082422,0.17240834,-0.8322893,0.07133484
1586704082442,-0.26293916,-1.4392686,0.3483944
1586704082464,-0.21696979,-0.3427112,0.21689701
1586704082483,-0.16324276,1.0583289,0.1465826
1586704082502,-0.32099873,0.8624313,0.43994522
1586704082522,-0.5005359,0.77504516,1.2931166
1586704082542,-0.95402765,1.2955438,1.8108702
1586704082564,-0.66468,1.5819185,1.800025
1586704082582,-0.398209,1.3279676,1.6635838
1586704082604,-0.96259224,0.9516451,1.210866
1586704082622,-1.9433504,0.57962716,0.93430424
1586704082642,-1.8086113,-0.611164,0.8299475
1586704082663,-1.6685765,0.5841652,0.9272518
1586704082682,-2.0797071,-0.5424391,0.28393078
1586704082704,-2.5456653,-0.8581183,-0.6585474
1586704082723,-2.3513968,-0.40950978,-0.61091995
1586704082742,-2.2822475,0.30600762,-0.73722076
1586704082762,-2.5850713,-0.036396503,-0.75556374
1586704082781,-2.7600465,-0.6879256,-1.3313642
1586704082804,-3.231786,-0.4165907,-1.7218146
1586704082823,-3.720883,-0.3613174,-1.6438422
1586704082842,-3.5140676,0.24973297,-1.2471123
1586704082862,-1.6121566,0.2953503,-1.3635173
1586704082911,-0.9824922,-0.73534966,-1.6132421
1586704082912,-2.5743628,-2.1243472,-1.215693
1586704082922,-2.958978,-2.802062,-1.3449903
1586704082942,-1.0666196,-2.1221318,-1.476367
1586704082965,0.051894665,-0.76715803,-1.4462609
1586704082983,-0.20990753,-0.40333605,-0.98168373
1586704083002,-0.30057383,-0.09063864,-0.39538002
1586704083024,1.7436085,0.11642313,-0.30646324
1586704083042,3.8183622,-0.44401693,-0.38943338
1586704083064,4.105077,-2.089851,-0.17044401
1586704083083,3.8857684,-2.9864502,-0.49853134
1586704083101,4.1199083,-2.2077188,-1.3773594
1586704083137,4.225917,-0.9463291,-0.9848294
1586704083145,3.828361,0.748549,-0.6541462
1586704083204,2.5637374,1.5278997,-0.9468086
1586704083204,0.7682581,1.3857551,-1.5969098
1586704083207,-0.59217453,0.27652454,-2.3759892
1586704083257,-1.069756,0.16494846,-2.957145
1586704083269,-1.1126232,0.27521133,-2.8188593
1586704083273,-0.9691553,0.2877264,-1.9225886
1586704083282,-0.57376194,0.5529227,-1.0618427
1586704083300,-0.28657246,0.276078,-0.76340365
1586704083322,-0.010622978,-0.9232738,-1.0089972
1586704083343,0.7425184,-1.3461597,-0.8039069
1586704083361,1.0738182,0.16025257,-0.14201236
1586704083380,0.7246952,2.0919454,-0.32706833
1586704083402,0.39628983,2.9375708,-0.9024174
1586704083421,0.21250343,2.4091282,-0.48612428
1586704083442,0.0017442703,2.157304,-0.5294223
1586704083464,-0.07684517,2.4314895,-0.67085195
1586704083483,-0.26430225,2.6104314,-0.44735003
1586704083502,-0.6874161,1.5024986,0.18117833
1586704083524,-0.86945486,-0.08832073,-0.024490833
1586704083543,-0.09075451,-0.40117884,-0.6273109
1586704083564,0.7451496,-0.59740067,-1.2158995
1586704083583,0.61774635,-1.4410291,-0.47470427
1586704083603,-0.12380886,-1.9638462,0.010219336
1586704083623,-0.22201347,-2.3578038,0.044317722
1586704083643,0.36617947,-1.9699206,-0.5558803
1586704083661,0.7864437,-1.6984463,-0.8704076
1586704083681,0.62367725,-2.000392,-0.23792362
1586704083703,0.37124157,-1.8690693,0.0030667782
1586704083723,0.3134985,-1.1271605,-0.046969056
1586704083743,0.06804943,-0.13114071,-0.2746867
1586704083764,-0.30560303,0.21632433,-0.2843585
1586704083783,-0.55539036,0.14527082,-0.15884316
1586704083803,-0.37087154,0.5158081,-0.46522152
1586704083824,-0.15851212,0.9124315,-0.67473114
1586704083852,-0.19722652,1.0206861,-0.3897686
1586704083863,-0.3967533,0.5043285,-0.17352045
1586704083883,-0.0054483414,0.8702781,-0.5946424
1586704083903,0.4245777,0.89081216,-0.8456855
1586704083922,0.44315434,0.35047245,-0.92579496
1586704083944,0.1428194,-1.1390617,-0.23949468
1586704083967,-0.04847622,-2.0244403,-0.71388555
1586704083985,0.18197346,-1.6783333,-1.1978421
1586704084003,0.17624283,-2.0742416E-5,-0.87390393
1586704084026,0.15514565,0.8110677,-0.8086781
1586704084044,0.19562244,0.5803292,-0.6053436
1586704084064,0.041671753,-0.23623323,-0.7866775
1586704084084,0.16125393,-0.34320366,-0.9792813
1586704084103,0.1680088,0.032777548,-0.75693274
1586704084123,-0.09666443,0.46494687,-0.40179467
1586704084144,-0.24827099,0.3730712,0.12752831
1586704084164,-0.2879238,0.3487537,-0.011789203
1586704084184,-0.10459423,0.5070095,-0.34008706
1586704084204,-0.013133049,1.0034004,-0.28230155
1586704084224,-0.15819645,1.4445294,0.0064843893
1586704084244,-0.27318192,1.1699185,0.087323785
1586704084264,-0.24830055,0.755931,-0.017611504
1586704084284,-0.12142849,1.0482693,-0.1476953
1586704084304,-0.13166046,1.514711,0.067962885
1586704084324,-0.22709274,1.7589407,0.22280788
1586704084344,-0.15297318,1.6263281,0.0046412945
1586704084364,-0.19178009,0.95184267,0.2498889
1586704084384,-0.51048946,-0.31937683,0.58015037
1586704084404,-0.3247099,-0.7157967,0.086904764
1586704084424,0.16226387,-0.17851615,-0.28376973
1586704084444,0.2581854,0.58170927,-0.293553
1586704084466,0.024311066,0.76005447,-0.27852333
1586704084486,-0.005501747,0.46225274,-0.31407082
1586704084504,0.119932175,-0.47903812,-0.4663123
1586704084526,0.31733608,-1.084749,-0.82575756
1586704084544,0.55649376,-0.6932025,-1.028008
1586704084566,0.40543652,-0.0066463947,-0.3907311
1586704084584,-0.0694828,0.12265849,0.027007937
1586704084604,-0.18429756,0.1776669,-0.08824527
1586704084624,0.10719299,0.58457947,-0.25648987
1586704084644,0.1904974,1.1893088,-0.45383418
1586704084664,-0.075722694,1.1195719,-0.17403388
1586704084684,-0.48112774,0.55450606,-0.024940014
1586704084704,-0.18786621,0.14453673,-0.15593469
1586704084725,0.18543148,0.25771976,-0.36776638
1586704084744,0.20187283,0.66669035,-0.6249387
1586704084765,-0.036785126,0.2275517,-0.36862612
1586704084788,-0.23651695,-0.13188314,-0.5561421
1586704084819,0.030128479,-0.10025859,-0.43164766
1586704084825,0.38315964,0.70577145,0.26485848
1586704084846,0.284997,0.94830394,0.40319145
1586704084865,-0.14120579,-0.4896078,0.03630483
1586704084885,-0.067759514,-1.6564279,-0.45149338
1586704084904,0.3249855,-1.5680571,-0.47795188
1586704084924,0.29172897,-0.89485645,-0.20467305
1586704084945,-0.034075737,-0.29700112,-0.16964221
1586704084967,-0.024209976,-0.7431476,-0.30448282
1586704084986,0.20445538,-1.5535979,-0.4806149
