time,value,value2,value3
1582470810354,2.0,0.0,0.0
1582470810354,2.0,0.0,0.0
1582470810356,0.0,2.0,0.0
1582470810509,0.0,0.0,0.0
1582470810514,0.0,2.0,0.0
1582470810514,18.0,0.0,0.0
1582470810570,4.0,0.0,0.0
1582470810587,0.0,14.0,0.0
1582470810637,4.0,6.0,0.0
1582470810685,4.0,14.0,0.0
1582470810739,0.0,0.0,0.0
1582470810782,2.0,0.0,0.0
1582470810838,0.0,4.0,0.0
1582470810884,0.0,0.0,0.0
1582470810936,2.0,0.0,0.0
1582470810980,4.0,0.0,0.0
1582470811033,0.0,0.0,0.0
1582470811079,2.0,0.0,0.0
1582470811132,2.0,12.0,0.0
1582470811178,0.0,0.0,0.0
1582470811228,0.0,12.0,0.0
1582470811276,6.0,0.0,0.0
1582470811325,0.0,10.0,0.0
1582470811376,0.0,0.0,0.0
1582470811422,0.0,0.0,0.0
1582470811471,0.0,12.0,0.0
1582470811525,0.0,6.0,0.0
1582470811574,0.0,0.0,0.0
