time,value,value2,value3
1578392073188,5795126.0,7102375.0,0.0
1578392073232,5810098.0,7124047.0,0.0
1578392073282,5815264.0,7169240.0,0.0
1578392073332,5823824.0,7176348.0,0.0
1578392073380,5818964.0,7140920.0,0.0
1578392073428,5797328.0,7077919.0,0.0
1578392073478,5770882.0,7046764.0,0.0
1578392073527,5759611.0,7037172.0,0.0
1578392073590,5729158.0,6976844.0,0.0
1578392073630,5709339.0,6934957.0,0.0
1578392073718,5688758.0,6903756.0,0.0
1578392073735,5656930.0,6832901.0,0.0
1578392073827,5618388.0,6752392.0,0.0
1578392073828,5569426.0,6625735.0,0.0
1578392073870,5547293.0,6574540.0,0.0
1578392073916,5495266.0,6523980.0,0.0
1578392073964,5474518.0,6535822.0,0.0
1578392074013,5481261.0,6580795.0,0.0
1578392074065,5495305.0,6724642.0,0.0
1578392074110,5491334.0,6879061.0,0.0
1578392074160,5479924.0,6931649.0,0.0
1578392074208,5471682.0,6926361.0,0.0
1578392074265,5459469.0,6792806.0,0.0
1578392074309,5453211.0,6829767.0,0.0
1578392074359,5457053.0,6960190.0,0.0
1578392074405,5479977.0,7071539.0,0.0
1578392074456,5500240.0,7129873.0,0.0
1578392074506,5512196.0,7144103.0,0.0
1578392074553,5528276.0,7154187.0,0.0
1578392074602,5538681.0,7155834.0,0.0
1578392074651,5543094.0,7145179.0,0.0
1578392074701,5547776.0,7144974.0,0.0
1578392074750,5541072.0,7114976.0,0.0
1578392074800,5536761.0,7096928.0,0.0
1578392074850,5527702.0,7060727.0,0.0
1578392074900,5516496.0,7010594.0,0.0
1578392074953,5505328.0,6925317.0,0.0
1578392074998,5485026.0,6870277.0,0.0
1578392075046,5462130.0,6814808.0,0.0
1578392075095,5437184.0,6772827.0,0.0
1578392075144,5415369.0,6739219.0,0.0
1578392075192,5392752.0,6701624.0,0.0
1578392075242,5371787.0,6657618.0,0.0
1578392075292,5344006.0,6615921.0,0.0
1578392075347,5324187.0,6582710.0,0.0
1578392075393,5310960.0,6565740.0,0.0
1578392075438,5296774.0,6544338.0,0.0
1578392075487,5290644.0,6528159.0,0.0
1578392075536,5280736.0,6519785.0,0.0
1578392075586,5256566.0,6466281.0,0.0
1578392075628,5209106.0,6377665.0,0.0
1578392075682,5167051.0,6309057.0,0.0
1578392075729,5144434.0,6286213.0,0.0
1578392075784,5129220.0,6281625.0,0.0
1578392075827,5117099.0,6262946.0,0.0
1578392075875,5094722.0,6230081.0,0.0
1578392075923,5076139.0,6202569.0,0.0
1578392075972,5061051.0,6175530.0,0.0
1578392076022,5052224.0,6162614.0,0.0
1578392076072,5042761.0,6154666.0,0.0
1578392076124,5034834.0,6142651.0,0.0
1578392076172,5033449.0,6137270.0,0.0
1578392076220,5018934.0,6097459.0,0.0
1578392076270,4971028.0,6015729.0,0.0
1578392076314,4924523.0,5945443.0,0.0
1578392076367,4903929.0,5909953.0,0.0
1578392076415,4893078.0,5898333.0,0.0
1578392076465,4878729.0,5879480.0,0.0
1578392076511,4862713.0,5838148.0,0.0
1578392076563,4844041.0,5815526.0,0.0
1578392076612,4827286.0,5785799.0,0.0
1578392076661,4823586.0,5773624.0,0.0
1578392076713,4818420.0,5767466.0,0.0
1578392076761,4814020.0,5763922.0,0.0
1578392076811,4812214.0,5750465.0,0.0
1578392076852,4799302.0,5720388.0,0.0
1578392076905,4754514.0,5632199.0,0.0
1578392076951,4707714.0,5558146.0,0.0
1578392077002,4681942.0,5524525.0,0.0
1578392077053,4672873.0,5503755.0,0.0
1578392077101,4659554.0,5486643.0,0.0
1578392077149,4644786.0,5451960.0,0.0
1578392077198,4627830.0,5418527.0,0.0
1578392077247,4612909.0,5391459.0,0.0
1578392077295,4605264.0,5374205.0,0.0
1578392077346,4595595.0,5356996.0,0.0
1578392077389,4593293.0,5343320.0,0.0
1578392077444,4588370.0,5332491.0,0.0
1578392077496,4582749.0,5317407.0,0.0
1578392077541,4552372.0,5248529.0,0.0
1578392077590,4502089.0,5167069.0,0.0
1578392077640,4470667.0,5122602.0,0.0
1578392077688,4457412.0,5092511.0,0.0
1578392077735,4448992.0,5075208.0,0.0
1578392077787,4438205.0,5046365.0,0.0
1578392077833,4418121.0,5017776.0,0.0
1578392077885,4410272.0,4995615.0,0.0
1578392077933,4403325.0,4703565.0,0.0
1578392077982,4398708.0,4618244.0,0.0
1578392078031,4401355.0,4613924.0,0.0
1578392078080,4397766.0,4613875.0,0.0
1578392078128,4405170.0,4611310.0,0.0
1578392078178,4401837.0,4601041.0,0.0
1578392078227,4363878.0,4538604.0,0.0
1578392078273,4327181.0,4492170.0,0.0
1578392078326,4310873.0,4472403.0,0.0
1578392078374,4303280.0,4460388.0,0.0
1578392078424,4304386.0,4449928.0,0.0
1578392078471,4294210.0,4434993.0,0.0
1578392078521,4289376.0,4416603.0,0.0
1578392078569,4283142.0,4410216.0,0.0
1578392078617,4284555.0,4409550.0,0.0
1578392078667,4288955.0,4409134.0,0.0
1578392078713,4294096.0,4406178.0,0.0
1578392078763,4294731.0,4406666.0,0.0
1578392078811,4306420.0,4408209.0,0.0
1578392078856,4309053.0,4407995.0,0.0
1578392078911,4280141.0,4364232.0,0.0
1578392078956,4253899.0,4331477.0,0.0
1578392079009,4243888.0,4314773.0,0.0
1578392079055,4239970.0,4308266.0,0.0
1578392079106,4243531.0,4304693.0,0.0
1578392079150,4243696.0,4299968.0,0.0
1578392079205,4238493.0,4289152.0,0.0
1578392079258,4239664.0,4284878.0,0.0
1578392079307,4249280.0,4288569.0,0.0
1578392079353,4254331.0,4292226.0,0.0
1578392079401,4268960.0,4304396.0,0.0
1578392079449,4275282.0,4310178.0,0.0
1578392079499,4286374.0,4314534.0,0.0
1578392079548,4300939.0,4324211.0,0.0
1578392079593,4297453.0,4317977.0,0.0
1578392079645,4276349.0,4286754.0,0.0
1578392079698,4260347.0,4271699.0,0.0
1578392079744,4259113.0,4268672.0,0.0
1578392079795,4261620.0,4269337.0,0.0
1578392079843,4265067.0,4275534.0,0.0
1578392079889,4260678.0,4269111.0,0.0
1578392079937,4259280.0,4269977.0,0.0
