time,value,value2,value3
1577523425198,6861104.0,6891725.0,0.0
1577523425251,6854518.0,6864330.0,0.0
1577523425291,6726040.0,6782960.0,0.0
1577523425349,6791387.0,6900616.0,0.0
1577523425394,6826899.0,6968421.0,0.0
1577523425440,6771093.0,6920592.0,0.0
1577523425494,6820434.0,6993221.0,0.0
1577523425554,6806711.0,7081997.0,0.0
1577523425589,6593825.0,6968824.0,0.0
1577523425676,6660209.0,7032445.0,0.0
1577523425703,6367661.0,6859298.0,0.0
1577523425794,6261938.0,6784250.0,0.0
1577523425794,6093570.0,6587672.0,0.0
1577523425888,5935577.0,6422794.0,0.0
1577523425889,5960723.0,6423581.0,0.0
1577523425927,5852783.0,6259472.0,0.0
1577523425978,5693753.0,6066456.0,0.0
1577523426030,5563167.0,5887034.0,0.0
1577523426080,5525023.0,5778312.0,0.0
1577523426126,5521284.0,5782629.0,0.0
1577523426176,5456637.0,5706440.0,0.0
1577523426225,5410335.0,5674634.0,0.0
1577523426275,5402162.0,5673968.0,0.0
1577523426321,5365791.0,5640293.0,0.0
1577523426372,5343910.0,5629328.0,0.0
1577523426420,5310901.0,5606576.0,0.0
1577523426469,5289638.0,5599661.0,0.0
1577523426523,5265149.0,5587106.0,0.0
1577523426569,5202475.0,5538146.0,0.0
1577523426620,5180918.0,5522874.0,0.0
1577523426667,5195111.0,5526749.0,0.0
1577523426715,5205743.0,5565677.0,0.0
1577523426766,5185782.0,5586053.0,0.0
1577523426815,5168190.0,5587640.0,0.0
1577523426865,5169763.0,5590904.0,0.0
1577523426913,5148041.0,5573437.0,0.0
1577523426963,5087748.0,5519002.0,0.0
1577523427011,5059187.0,5505778.0,0.0
1577523427060,5024632.0,5483949.0,0.0
1577523427108,5005720.0,5468810.0,0.0
1577523427163,4968706.0,5433269.0,0.0
1577523427211,4938611.0,5408232.0,0.0
1577523427260,5018797.0,5472032.0,0.0
1577523427310,5109211.0,5523632.0,0.0
1577523427358,5120019.0,5561344.0,0.0
1577523427408,5065503.0,5561981.0,0.0
1577523427456,5035961.0,5542317.0,0.0
1577523427508,4979296.0,5485210.0,0.0
1577523427550,4926355.0,5427642.0,0.0
1577523427604,4877942.0,5378106.0,0.0
1577523427652,4844420.0,5358176.0,0.0
1577523427704,4820605.0,5345309.0,0.0
1577523427751,4787540.0,5304720.0,0.0
1577523427800,4758334.0,5260034.0,0.0
1577523427850,4708967.0,5203773.0,0.0
1577523427897,4740352.0,5238589.0,0.0
1577523427949,4786412.0,5283021.0,0.0
1577523427997,4756277.0,5310152.0,0.0
1577523428049,4724100.0,5307330.0,0.0
1577523428096,4724303.0,5316904.0,0.0
1577523428144,4706951.0,5304112.0,0.0
1577523428193,4667611.0,5263714.0,0.0
1577523428241,4644950.0,5256517.0,0.0
1577523428291,4615032.0,5229314.0,0.0
1577523428336,4556053.0,5163304.0,0.0
1577523428386,4513019.0,5101581.0,0.0
1577523428438,4473503.0,5061200.0,0.0
1577523428493,4583083.0,5166658.0,0.0
1577523428540,4670473.0,5230576.0,0.0
1577523428588,4691951.0,5207112.0,0.0
1577523428634,4620824.0,5104461.0,0.0
1577523428684,4544912.0,5061021.0,0.0
1577523428732,4483542.0,4838058.0,0.0
1577523428782,4613392.0,4935781.0,0.0
1577523428831,4552464.0,4882445.0,0.0
1577523428885,4466110.0,4812264.0,0.0
1577523428927,4480142.0,4858714.0,0.0
1577523428972,4580960.0,4977381.0,0.0
1577523429026,4748698.0,5034872.0,0.0
