time,value,value2,value3
1583190808546,5259749.0,4546759.0,0.0
1583190808597,4999007.0,4330065.0,0.0
1583190808644,4814476.0,4218788.0,0.0
1583190808698,4700590.0,4191532.0,0.0
1583190808740,4638502.0,4239853.0,0.0
1583190808819,4616013.0,4210586.0,0.0
1583190808903,4496723.0,4134267.0,0.0
1583190808903,4350386.0,4051878.0,0.0
1583190808985,4197865.0,4030642.0,0.0
1583190808991,4103190.0,3993413.0,0.0
1583190809034,4034308.0,3958495.0,0.0
1583190809079,3854557.0,3820521.0,0.0
1583190809135,3690244.0,3712855.0,0.0
1583190809178,3595219.0,3677186.0,0.0
1583190809227,3568093.0,3704964.0,0.0
1583190809276,3546892.0,3701252.0,0.0
1583190809324,3355899.0,3600008.0,0.0
1583190809374,3214181.0,3503473.0,0.0
1583190809422,3132732.0,3482788.0,0.0
1583190809475,3065819.0,3474048.0,0.0
1583190809519,3057934.0,3462814.0,0.0
1583190809568,3031096.0,3421153.0,0.0
1583190809617,3007146.0,3410592.0,0.0
1583190809666,2990159.0,3403160.0,0.0
1583190809714,2962029.0,3373803.0,0.0
1583190809763,2925880.0,3339123.0,0.0
1583190809814,2915118.0,3322770.0,0.0
1583190809860,2929655.0,3372261.0,0.0
1583190809910,2962700.0,3448070.0,0.0
1583190809958,2932138.0,3428626.0,0.0
1583190810005,2922248.0,3448151.0,0.0
1583190810055,2913590.0,3434217.0,0.0
1583190810109,2877500.0,3403710.0,0.0
1583190810158,2891300.0,3424654.0,0.0
1583190810205,3004210.0,3506545.0,0.0
1583190810254,3093152.0,3561977.0,0.0
1583190810303,3097337.0,3535433.0,0.0
1583190810351,3043772.0,3473446.0,0.0
1583190810400,2999395.0,3439217.0,0.0
1583190810448,3008119.0,3457623.0,0.0
1583190810497,3056373.0,3520518.0,0.0
1583190810546,3035316.0,3516527.0,0.0
1583190810596,3017892.0,3515446.0,0.0
1583190810643,3001266.0,3507754.0,0.0
1583190810694,3024109.0,3527610.0,0.0
1583190810741,2975963.0,3495742.0,0.0
1583190810791,3024201.0,3546725.0,0.0
1583190810834,3138513.0,3616402.0,0.0
1583190810887,3181968.0,3645338.0,0.0
1583190810934,3172740.0,3612761.0,0.0
1583190810980,3070602.0,3452672.0,0.0
1583190811033,2949310.0,3322530.0,0.0
1583190811083,2902558.0,3289862.0,0.0
1583190811131,2892257.0,3294933.0,0.0
1583190811176,2967507.0,3433597.0,0.0
1583190811229,3006602.0,3505135.0,0.0
1583190811278,3006921.0,3455882.0,0.0
1583190811326,3054041.0,3473566.0,0.0
1583190811376,3090450.0,3492010.0,0.0
1583190811423,3114745.0,3528760.0,0.0
1583190811474,3157747.0,3502374.0,0.0
1583190811519,3151138.0,3458373.0,0.0
1583190811571,3130945.0,3433366.0,0.0
1583190811617,3098756.0,3401248.0,0.0
1583190811667,3032364.0,3343924.0,0.0
1583190811717,2976022.0,3302814.0,0.0
1583190811764,2989714.0,3332183.0,0.0
1583190811814,3070468.0,3414511.0,0.0
1583190811862,3149082.0,3446221.0,0.0
1583190811913,3087355.0,3349607.0,0.0
1583190811955,2951745.0,3243180.0,0.0
1583190812008,2912231.0,3213043.0,0.0
1583190812059,2922902.0,3216164.0,0.0
1583190812099,2925553.0,3162463.0,0.0
1583190812151,2932725.0,3156557.0,0.0
1583190812198,2928574.0,3149336.0,0.0
1583190812249,2927977.0,3151189.0,0.0
1583190812294,2922122.0,3145404.0,0.0
1583190812343,2933607.0,3150805.0,0.0
1583190812397,2955292.0,3164076.0,0.0
1583190812446,2896040.0,3071632.0,0.0
1583190812496,2810412.0,2996144.0,0.0
1583190812543,2788910.0,2956438.0,0.0
1583190812587,2812241.0,2938311.0,0.0
1583190812639,2823013.0,2926868.0,0.0
1583190812690,2813214.0,2917942.0,0.0
1583190812739,2845478.0,2917804.0,0.0
1583190812787,2886241.0,2929546.0,0.0
1583190812835,2926476.0,2948276.0,0.0
1583190812884,2959815.0,2944889.0,0.0
1583190812934,2964914.0,2890772.0,0.0
1583190812977,3142950.0,2913635.0,0.0
1583190813031,3438106.0,2982109.0,0.0
1583190813081,3674000.0,3063921.0,0.0
1583190813127,3910272.0,3157827.0,0.0
1583190813176,4062275.0,3207454.0,0.0
1583190813225,4191719.0,3280914.0,0.0
1583190813275,4275307.0,3331413.0,0.0
1583190813321,4358972.0,3370788.0,0.0
1583190813372,4366155.0,3383478.0,0.0
1583190813420,4375785.0,3358963.0,0.0
1583190813468,4286181.0,3245255.0,0.0
1583190813518,4224906.0,3214299.0,0.0
1583190813566,4234646.0,3265731.0,0.0
1583190813615,4376120.0,3371117.0,0.0
1583190813662,4352286.0,3340637.0,0.0
1583190813713,4199714.0,3237751.0,0.0
1583190813758,4238279.0,3254044.0,0.0
1583190813805,4200025.0,3244842.0,0.0
1583190813858,4008307.0,3136036.0,0.0
1583190813907,3741842.0,2996435.0,0.0
1583190813949,3648621.0,2988036.0,0.0
1583190813997,3573497.0,2997392.0,0.0
1583190814048,3517945.0,3020200.0,0.0
1583190814096,3434205.0,2992902.0,0.0
1583190814151,3374884.0,2981534.0,0.0
1583190814199,3351084.0,2988113.0,0.0
1583190814247,3304047.0,2970605.0,0.0
1583190814292,3286404.0,2968661.0,0.0
1583190814341,3287779.0,2964256.0,0.0
1583190814394,3201438.0,2872271.0,0.0
1583190814438,3148570.0,2825994.0,0.0
1583190814491,3183284.0,2839019.0,0.0
1583190814539,3303190.0,2894949.0,0.0
1583190814588,3346864.0,2903799.0,0.0
1583190814638,3287637.0,2868866.0,0.0
1583190814686,3241825.0,2834492.0,0.0
1583190814735,3180566.0,2804851.0,0.0
1583190814780,3160458.0,2806115.0,0.0
1583190814834,3143696.0,2810780.0,0.0
1583190814882,3055711.0,2739638.0,0.0
1583190814929,2907633.0,2624605.0,0.0
1583190814978,2835035.0,2575591.0,0.0
1583190815022,2792259.0,2556407.0,0.0
1583190815077,2773904.0,2555016.0,0.0
1583190815118,2770850.0,2559337.0,0.0
1583190815174,2762603.0,2558709.0,0.0
1583190815218,2752260.0,2554817.0,0.0
1583190815270,2755019.0,2562350.0,0.0
1583190815319,2771931.0,2578192.0,0.0
1583190815368,2793248.0,2596435.0,0.0
1583190815418,2789304.0,2593229.0,0.0
1583190815461,2687729.0,2502391.0,0.0
1583190815510,2623242.0,2445474.0,0.0
1583190815557,2626716.0,2447579.0,0.0
1583190815608,2656245.0,2476292.0,0.0
1583190815656,2643545.0,2468106.0,0.0
1583190815705,2637909.0,2465698.0,0.0
1583190815753,2635609.0,2467748.0,0.0
1583190815805,2643770.0,2477549.0,0.0
1583190815855,2653246.0,2488590.0,0.0
1583190815898,2660608.0,2499047.0,0.0
1583190815952,2660067.0,2498267.0,0.0
1583190816001,2565745.0,2412107.0,0.0
1583190816049,2507564.0,2360484.0,0.0
1583190816092,2518907.0,2368323.0,0.0
1583190816143,2551176.0,2403449.0,0.0
1583190816193,2568472.0,2420335.0,0.0
1583190816240,2570819.0,2424533.0,0.0
1583190816287,2573007.0,2428972.0,0.0
1583190816338,2576148.0,2438341.0,0.0
1583190816387,2591997.0,2453215.0,0.0
1583190816433,2608115.0,2471369.0,0.0
1583190816484,2617317.0,2480144.0,0.0
1583190816532,2528849.0,2396440.0,0.0
1583190816581,2469382.0,2339691.0,0.0
1583190816633,2468114.0,2340441.0,0.0
1583190816684,2493728.0,2365332.0,0.0
1583190816732,2511524.0,2381283.0,0.0
1583190816780,2513125.0,2385227.0,0.0
1583190816828,2518046.0,2391964.0,0.0
1583190816878,2531531.0,2404886.0,0.0
1583190816924,2547521.0,2421642.0,0.0
1583190816975,2566172.0,2439883.0,0.0
1583190817021,2578588.0,2452583.0,0.0
1583190817067,2510232.0,2386978.0,0.0
1583190817120,2454558.0,2334173.0,0.0
1583190817170,2464046.0,2341406.0,0.0
1583190817213,2493021.0,2371734.0,0.0
1583190817262,2517286.0,2397921.0,0.0
1583190817316,2523308.0,2401920.0,0.0
1583190817360,2523481.0,2406249.0,0.0
1583190817409,2535011.0,2420354.0,0.0
1583190817461,2553368.0,2437004.0,0.0
1583190817511,2568399.0,2453599.0,0.0
1583190817558,2579894.0,2465598.0,0.0
1583190817606,2537478.0,2421282.0,0.0
1583190817657,2477803.0,2365549.0,0.0
1583190817700,2482964.0,2366396.0,0.0
1583190817754,2515787.0,2398354.0,0.0
1583190817802,2548742.0,2427424.0,0.0
1583190817852,2555609.0,2432782.0,0.0
1583190817901,2556003.0,2434503.0,0.0
1583190817949,2569845.0,2449133.0,0.0
1583190817997,2585216.0,2464997.0,0.0
1583190818041,2602487.0,2483047.0,0.0
1583190818095,2619798.0,2502842.0,0.0
1583190818142,2598999.0,2479697.0,0.0
1583190818192,2532557.0,2420955.0,0.0
1583190818240,2518633.0,2408324.0,0.0
1583190818285,2547801.0,2435295.0,0.0
1583190818337,2587003.0,2470979.0,0.0
1583190818385,2604860.0,2486095.0,0.0
1583190818436,2601660.0,2486038.0,0.0
1583190818483,2598981.0,2487480.0,0.0
1583190818533,2609442.0,2499909.0,0.0
1583190818581,2628079.0,2516725.0,0.0
1583190818630,2641196.0,2530572.0,0.0
1583190818679,2612723.0,2503649.0,0.0
1583190818726,2559171.0,2452410.0,0.0
1583190818776,2550168.0,2446423.0,0.0
1583190818822,2582188.0,2476119.0,0.0
1583190818874,2615304.0,2507284.0,0.0
1583190818921,2625999.0,2520033.0,0.0
1583190818971,2627080.0,2518954.0,0.0
1583190819020,2628026.0,2523024.0,0.0
1583190819067,2642371.0,2537041.0,0.0
1583190819113,2661989.0,2556007.0,0.0
1583190819162,2675358.0,2569959.0,0.0
1583190819214,2609763.0,2506162.0,0.0
1583190819262,2564758.0,2466143.0,0.0
1583190819313,2577229.0,2475406.0,0.0
1583190819361,2611756.0,2508596.0,0.0
1583190819408,2640597.0,2533798.0,0.0
1583190819458,2644677.0,2538471.0,0.0
1583190819502,2642511.0,2538244.0,0.0
1583190819557,2650520.0,2546113.0,0.0
1583190819604,2663495.0,2560032.0,0.0
1583190819653,2683259.0,2581457.0,0.0
1583190819701,2681786.0,2575890.0,0.0
1583190819750,2615003.0,2514553.0,0.0
1583190819799,2594586.0,2495853.0,0.0
1583190819842,2616990.0,2514299.0,0.0
1583190819894,2657854.0,2553098.0,0.0
1583190819944,2681386.0,2573958.0,0.0
1583190819988,2676498.0,2570993.0,0.0
1583190820041,2677026.0,2569890.0,0.0
1583190820087,2681866.0,2578106.0,0.0
1583190820139,2701145.0,2595921.0,0.0
1583190820182,2717395.0,2610547.0,0.0
1583190820237,2701259.0,2576975.0,0.0
1583190820286,2783059.0,2609048.0,0.0
1583190820335,2882702.0,2699834.0,0.0
1583190820382,2818273.0,2709686.0,0.0
1583190820427,2753891.0,2690956.0,0.0
1583190820479,2708660.0,2651203.0,0.0
1583190820528,2681713.0,2642659.0,0.0
1583190820572,2694237.0,2675996.0,0.0
1583190820623,2778363.0,2724622.0,0.0
1583190820672,2853694.0,2807612.0,0.0
1583190820720,2917898.0,2878634.0,0.0
