time,value,accuracy
1586705170463,165.4617,2
1586705171435,165.52077,1
1586705172404,165.54651,1
1586705173377,165.5402,2
1586705174346,165.53136,2
1586705175316,165.47665,2
1586705176289,165.47665,2
1586705177263,165.46559,1
1586705178235,165.46063,3
1586705179201,165.39075,3
1586705180177,165.25554,2
1586705181149,164.4225,2
1586705182116,164.4225,2
1586705183086,164.19304,2
1586705184060,164.1969,1
1586705185033,164.38228,1
1586705186004,164.59598,1
1586705186973,164.74023,1
1586705187945,164.74023,1
1586705188914,164.8268,1
1586705189890,164.89775,1
1586705190856,166.26366,1
1586705191830,165.63152,1
1586705192797,164.86362,1
1586705193769,164.86362,1
1586705194740,164.93687,1
1586705195712,164.94997,1
1586705196688,164.95496,2
1586705197646,164.55966,2
1586705198619,164.4049,2
1586705199587,164.4049,2
1586705200557,163.65034,2
1586705201537,163.50963,2
1586705202507,163.48415,3
1586705203471,163.51501,3
1586705204448,163.59393,3
1586705205421,163.59393,3
1586705206392,163.62682,3
1586705207364,164.19121,3
1586705208335,164.31448,3
1586705209307,164.34288,3
1586705210275,164.69054,3
1586705211250,164.69054,3
1586705212222,164.86923,3
1586705213188,165.00246,3
1586705214161,165.56697,3
1586705215139,165.61914,3
1586705216110,165.60571,3
1586705217079,165.60571,3
1586705218055,165.58748,3
1586705219024,165.56158,3
1586705219993,165.53828,3
1586705220971,165.50737,3
1586705221939,165.46864,3
1586705222917,165.46864,3
1586705223888,165.45076,1
1586705224854,165.40479,3
1586705225828,165.3563,3
1586705226803,165.3456,2
1586705227773,165.3403,2
1586705228739,165.3403,2
1586705229715,165.35345,3
1586705230687,165.35165,2
1586705231661,165.34941,3
1586705232629,165.34662,2
1586705233610,165.38602,2
1586705234580,165.38602,2
1586705235548,166.08527,2
1586705236527,166.82524,3
1586705237499,166.93652,3
1586705238468,166.93271,3
1586705239437,167.08444,3
1586705240409,167.08444,3
1586705241380,167.6805,2
1586705242362,167.93277,2
1586705243326,168.07155,2
1586705244309,168.10013,3
1586705245279,168.11482,3
1586705246253,168.11482,3
1586705247229,168.29004,3
1586705248200,168.4339,3
1586705249170,168.56323,3
1586705250142,169.16737,2
1586705251117,169.18694,3
1586705252080,169.18694,3
1586705253056,169.14183,1
1586705254028,169.09479,1
1586705255005,169.0546,3
1586705255980,169.02039,3
1586705256949,169.00818,3
1586705257924,169.00818,3
1586705258893,169.01083,3
1586705259867,169.01158,3
1586705260841,169.02238,3
1586705261812,169.5299,3
1586705262786,169.70674,3
1586705263751,169.70674,3
1586705264732,169.83304,3
1586705265701,170.41525,2
1586705266680,170.51305,3
1586705267653,170.64514,3
1586705268626,170.7633,3
1586705269597,170.7633,3
1586705270573,170.86674,3
1586705271536,171.48967,3
1586705272518,171.52034,3
1586705273487,171.47653,3
1586705274464,171.42873,3
1586705275437,171.42873,3
1586705276407,171.38171,3
1586705277383,171.30588,3
1586705278353,171.23225,3
1586705279321,171.15796,3
1586705280303,171.13474,2
1586705281267,171.13474,2
1586705282250,171.11996,2
1586705283222,171.17883,3
1586705284196,171.2438,3
1586705285168,171.85246,3
1586705286141,172.0483,3
1586705287114,172.0483,3
1586705288084,172.69667,3
1586705289063,172.74077,3
1586705290027,172.80478,3
1586705291007,172.9629,2
1586705291982,173.0949,2
1586705292949,173.0949,2
1586705293928,173.20705,1
1586705294898,173.61345,1
1586705295875,173.61674,2
1586705296850,173.5768,3
1586705297816,173.30696,3
1586705298796,173.30696,3
1586705299770,172.97156,3
1586705300740,172.88065,3
1586705301716,172.8453,3
1586705302692,172.37212,2
1586705303660,172.29413,2
1586705304636,172.29413,2
1586705305611,172.29611,2
1586705306586,172.33775,2
1586705307559,173.56622,3
1586705308527,173.68475,3
1586705309504,173.66913,3
1586705310478,173.66913,3
1586705311451,173.64494,2
1586705312425,173.61612,2
1586705313400,173.5975,3
1586705314372,173.57918,3
1586705315341,173.5948,3
1586705316317,173.5948,3
1586705317293,174.10225,3
1586705318268,174.27345,3
1586705319238,174.81657,3
1586705320216,174.84065,3
1586705321184,174.80643,3
1586705322155,174.80643,3
1586705323132,174.77048,3
1586705324112,174.73907,3
1586705325082,174.72192,3
1586705326053,174.74782,3
1586705327034,174.75648,2
1586705328003,174.75648,2
1586705328981,174.74104,2
1586705329954,174.72508,2
1586705330922,174.69395,2
1586705331902,174.60152,3
1586705332875,174.24258,3
1586705333850,174.24258,3
1586705334817,174.12503,3
1586705335792,174.0424,3
1586705336773,173.9818,3
1586705337747,173.92621,3
1586705338718,173.88089,3
1586705339692,173.88089,3
1586705340665,173.8367,3
1586705341631,173.79158,3
1586705342610,173.28343,3
1586705343587,172.64847,3
1586705344560,172.37708,3
1586705345535,172.37708,3
1586705346508,172.17596,3
1586705347483,172.00902,3
1586705348455,171.87277,3
1586705349420,171.76117,3
1586705350404,171.65935,3
1586705351370,171.65935,3
1586705352352,171.5653,3
1586705353323,171.02985,3
1586705354290,170.81516,3
1586705355265,170.6706,3
1586705356247,170.57724,3
1586705357216,170.57724,3
1586705358195,170.5903,3
1586705359165,170.49742,2
1586705360142,170.39462,3
1586705361116,170.28857,3
1586705362088,170.2034,3
1586705363062,170.2034,3
1586705364031,170.13275,3
1586705365012,169.62778,3
1586705365984,169.39359,3
1586705366952,169.39929,3
1586705367933,169.4131,3
1586705368906,169.4131,3
1586705369882,169.43982,3
1586705370852,169.32866,3
1586705371829,169.19954,3
1586705372805,169.09488,3
1586705373778,169.00333,3
1586705374751,169.00333,3
1586705375728,168.46191,3
1586705376701,168.22968,2
1586705377668,167.23596,3
1586705378652,167.11075,3
1586705379616,167.03214,3
1586705380597,167.03214,3
1586705381571,166.90877,3
1586705382545,166.80103,3
1586705383519,166.69032,3
1586705384489,166.57883,3
1586705385466,166.475,3
1586705386442,166.475,3
1586705387411,165.92609,3
1586705388395,165.70721,3
1586705389366,165.54813,3
1586705390338,165.43324,3
1586705391314,165.33788,3
1586705392284,165.33788,3
1586705393261,165.24791,3
1586705394227,165.17456,3
1586705395213,164.65445,3
1586705396178,164.44066,3
1586705397160,164.29178,3
1586705398131,164.29178,3
1586705399109,164.15866,3
1586705400076,163.60228,3
1586705401059,163.3685,3
1586705402034,163.21207,3
1586705403007,163.2425,3
1586705403983,163.2425,3
1586705404960,163.2966,3
1586705405934,163.34612,3
1586705406900,163.38864,3
1586705407884,163.42569,3
1586705408848,163.46501,3
1586705409830,163.46501,3
1586705410803,164.02267,3
1586705411778,164.63763,3
1586705412754,164.87863,3
1586705413730,165.0445,3
1586705414703,165.16826,2
1586705415670,165.16826,2
1586705416646,165.2718,2
1586705417618,165.37053,2
1586705418599,165.4501,2
1586705419572,165.52286,2
1586705420546,165.59068,2
1586705421522,165.59068,2
1586705422495,165.64589,3
1586705423467,166.22055,3
1586705424444,166.26611,3
1586705425416,166.27321,3
1586705426393,166.2452,3
1586705427368,166.2452,3
1586705428336,166.2334,3
1586705429316,166.21362,3
1586705430282,166.21217,3
1586705431266,166.21841,3
1586705432230,166.20401,3
1586705433206,166.20401,3
1586705434186,166.18929,3
1586705435162,166.16124,3
1586705436127,166.14073,2
1586705437108,166.07751,3
1586705438084,166.06534,3
1586705439049,166.06534,3
1586705440027,166.0602,3
