time,value
1574097015904,4100784.0
1574097015948,4100701.0
1574097015999,4069347.0
1574097016047,4017824.0
1574097016096,3877816.0
1574097016148,3797030.0
1574097016199,3724285.0
1574097016250,3684630.0
1574097016358,3641303.0
1574097016407,3610648.0
1574097016410,3597291.0
1574097016437,3603793.0
1574097016543,3610055.0
1574097016544,3607007.0
1574097016588,3612208.0
1574097016633,3619634.0
1574097016681,3630453.0
1574097016729,3624972.0
1574097016776,3589613.0
1574097016827,3565417.0
1574097016876,3556408.0
1574097016924,3567882.0
1574097016978,3580781.0
1574097017022,3579377.0
1574097017070,3573396.0
1574097017119,3584869.0
1574097017168,3597228.0
1574097017216,3619458.0
1574097017265,3613289.0
1574097017311,3623381.0
1574097017360,3599392.0
1574097017410,3564283.0
1574097017460,3529569.0
1574097017511,3524827.0
1574097017554,3527031.0
1574097017606,3527781.0
1574097017656,3556284.0
1574097017708,3575330.0
1574097017752,3582644.0
1574097017802,3583725.0
1574097017851,3612749.0
1574097017899,3592057.0
1574097017954,3580917.0
1574097017996,3584568.0
1574097018049,3599839.0
1574097018090,3618813.0
1574097018143,3633418.0
1574097018187,3641679.0
1574097018240,3637329.0
1574097018292,3633710.0
1574097018332,3644174.0
1574097018388,3653193.0
1574097018435,3685453.0
1574097018484,3656003.0
1574097018535,3614953.0
1574097018578,3608431.0
1574097018630,3622765.0
1574097018683,3649968.0
1574097018731,3675381.0
1574097018776,3690028.0
1574097018829,3700713.0
1574097018869,3722193.0
1574097018926,3730360.0
1574097018968,3748585.0
1574097019022,3736226.0
1574097019072,3698777.0
1574097019119,3721642.0
1574097019166,3779323.0
1574097019207,3807140.0
1574097019260,3800338.0
1574097019307,3803396.0
1574097019357,3814278.0
1574097019410,3849344.0
1574097019451,3891703.0
1574097019511,3865821.0
1574097019554,3843061.0
1574097019605,3836716.0
1574097019654,3837058.0
1574097019704,3849573.0
1574097019754,3860766.0
1574097019796,3856375.0
1574097019848,3838264.0
1574097019890,3840097.0
1574097019947,3858883.0
1574097019988,3878544.0
1574097020043,3849927.0
1574097020089,3810001.0
1574097020138,3802315.0
1574097020187,3813558.0
1574097020233,3826135.0
1574097020288,3840908.0
1574097020327,3872812.0
1574097020384,3874413.0
1574097020431,3872946.0
1574097020474,3885159.0
1574097020527,3866540.0
1574097020571,3838724.0
1574097020627,3846223.0
1574097020668,3847066.0
1574097020724,3896072.0
1574097020771,3877877.0
1574097020820,3882101.0
1574097020867,3903353.0
1574097020915,3913069.0
1574097020968,3925575.0
1574097021008,3921964.0
1574097021057,3939555.0
1574097021109,3941199.0
1574097021155,3932513.0
1574097021208,3948834.0
1574097021256,3972280.0
1574097021309,3986657.0
1574097021349,4011322.0
1574097021396,4024387.0
1574097021455,4023856.0
1574097021495,3987354.0
1574097021542,3953212.0
1574097021590,3943373.0
1574097021642,3955575.0
1574097021689,3972197.0
1574097021746,3988051.0
1574097021795,3990414.0
1574097021836,3995572.0
1574097021892,4000440.0
1574097021938,3999494.0
1574097021987,3972740.0
1574097022031,3955232.0
1574097022080,3957313.0
1574097022135,3968245.0
1574097022176,3978875.0
1574097022226,3991338.0
1574097022279,3997309.0
1574097022323,4005132.0
1574097022371,4021995.0
1574097022421,4027227.0
1574097022471,4001596.0
1574097022518,3977088.0
1574097022565,3971033.0
1574097022617,3971303.0
1574097022667,3995292.0
1574097022711,4011020.0
1574097022759,4024096.0
1574097022813,4036205.0
1574097022864,4051049.0
1574097022910,4045931.0
1574097022962,4016097.0
1574097023008,4005715.0
1574097023054,4009429.0
1574097023100,4021028.0
1574097023158,4035102.0
1574097023206,4047449.0
1574097023252,4057061.0
1574097023299,4069441.0
1574097023349,4080904.0
1574097023393,4067829.0
1574097023450,4037609.0
1574097023497,4031628.0
1574097023544,4036142.0
1574097023588,4049873.0
1574097023636,4063979.0
1574097023687,4074248.0
1574097023733,4084087.0
1574097023790,4094699.0
1574097023839,4105486.0
1574097023885,4079532.0
1574097023931,4056448.0
1574097023981,4050332.0
1574097024027,4064896.0
1574097024080,4072468.0
1574097024126,4070180.0
1574097024178,4066694.0
1574097024226,4072084.0
1574097024274,4081237.0
1574097024320,4092690.0
1574097024372,4078232.0
1574097024412,4057831.0
1574097024471,4059985.0
1574097024514,4065176.0
1574097024566,4061515.0
1574097024613,4047928.0
1574097024661,4030764.0
1574097024709,4019862.0
1574097024752,4009065.0
1574097024810,4007151.0
1574097024857,3988561.0
1574097024906,3959944.0
1574097024954,3944517.0
1574097024996,3952392.0
1574097025053,3952195.0
1574097025097,3958674.0
1574097025144,3947471.0
1574097025200,3943486.0
1574097025247,3941323.0
1574097025295,3941469.0
1574097025337,3922245.0
1574097025384,3909534.0
1574097025435,3904321.0
1574097025485,3905893.0
1574097025536,3898496.0
1574097025579,3892910.0
1574097025635,3888083.0
1574097025676,3900462.0
1574097025732,3906704.0
1574097025776,3911354.0
1574097025829,3902220.0
1574097025877,3889487.0
1574097025920,3887750.0
1574097025975,3889477.0
1574097026017,3896561.0
1574097026066,3904883.0
1574097026116,3913423.0
1574097026168,3922797.0
1574097026217,3933801.0
1574097026265,3927436.0
1574097026315,3894044.0
1574097026356,3857166.0
1574097026413,3843726.0
1574097026458,3844382.0
1574097026504,3844955.0
1574097026555,3829455.0
1574097026607,3811697.0
1574097026656,3811334.0
1574097026696,3815651.0
1574097026754,3790352.0
1574097026797,3751102.0
1574097026848,3732565.0
1574097026897,3731651.0
1574097026947,3726000.0
1574097026996,3737880.0
1574097027044,3760652.0
1574097027088,3770951.0
1574097027137,3776776.0
1574097027188,3777775.0
1574097027230,3743041.0
1574097027281,3705809.0
1574097027327,3692952.0
1574097027378,3703604.0
1574097027427,3710856.0
1574097027474,3703241.0
1574097027525,3676954.0
1574097027570,3659477.0
1574097027629,3655096.0
1574097027676,3626489.0
1574097027718,3574436.0
1574097027774,3543072.0
1574097027817,3536904.0
1574097027869,3541898.0
1574097027919,3552424.0
1574097027970,3552851.0
1574097028016,3540981.0
1574097028060,3535280.0
1574097028108,3526460.0
1574097028162,3486275.0
1574097028212,3469257.0
1574097028260,3470037.0
1574097028310,3484777.0
1574097028357,3501411.0
1574097028399,3512832.0
1574097028458,3515454.0
1574097028498,3514225.0
1574097028546,3512604.0
1574097028604,3499361.0
1574097028645,3455794.0
1574097028694,3422205.0
1574097028742,3411179.0
1574097028796,3423953.0
1574097028837,3449532.0
1574097028894,3461849.0
1574097028940,3456471.0
1574097028989,3458635.0
1574097029038,3459842.0
1574097029082,3423746.0
