time,value
1574269527350,3621451.0
1574269527406,3633186.0
1574269527447,3646484.0
1574269527499,3651651.0
1574269527544,3662750.0
1574269527597,3702950.0
1574269527641,3716248.0
1574269527687,3718578.0
1574269527742,3722254.0
1574269527791,3711063.0
1574269527838,3706382.0
1574269527884,3717548.0
1574269527935,3724838.0
1574269527983,3740182.0
1574269528033,3755164.0
1574269528081,3765046.0
1574269528131,3773261.0
1574269528172,3790407.0
1574269528225,3805096.0
1574269528274,3808729.0
1574269528320,3811598.0
1574269528366,3811112.0
1574269528417,3818670.0
1574269528465,3822882.0
1574269528511,3817606.0
1574269528562,3802471.0
1574269528609,3791514.0
1574269528658,3805659.0
1574269528709,3824963.0
1574269528755,4001747.0
1574269528807,4224286.0
1574269528856,4171241.0
1574269528906,4139613.0
1574269528953,4049438.0
1574269529001,4036049.0
1574269529044,4056041.0
1574269529096,3933484.0
1574269529145,3721608.0
1574269529188,3637749.0
1574269529238,3828585.0
1574269529288,4492932.0
1574269529336,4908001.0
1574269529386,4772516.0
1574269529432,4801316.0
1574269529485,4751928.0
1574269529531,4665587.0
1574269529577,4495162.0
1574269529629,4491018.0
1574269529673,4415792.0
1574269529726,4103046.0
1574269529769,4188548.0
