"1573238181782","(0.027273476, -0.17695093, 0.009964943)"
"1573238181783","(-0.009145796, -0.2874484, 0.12647915)"
"1573238181794","(-0.016144633, -0.33020854, 0.1313715)"
"1573238181805","(-0.022791684, -0.24054503, 0.07793999)"
"1573238181886","(-0.022940576, -0.13895154, 0.0041646957)"
"1573238181904","(-0.026278973, -0.09304166, 0.011372566)"
"1573238181935","(0.019846797, -0.19545889, 0.027825356)"
"1573238181938","(0.05712706, -0.16771173, 0.074391365)"
"1573238181944","(0.081933916, -0.042751312, 0.04649353)"
"1573238181946","(0.021210551, -0.11781454, 0.04736042)"
"1573238181947","(-0.018573225, -0.17264843, 0.07128143)"
"1573238182013","(0.016715884, -0.17213011, 0.053901672)"
"1573238182037","(0.00368011, -0.062274218, 0.0055646896)"
"1573238182050","(-0.014196873, 0.0021972656, -0.022504807)"
"1573238182072","(-0.041674674, -0.14774585, 0.01943016)"
"1573238182074","(-0.008766532, -0.18036747, 0.023840904)"
"1573238182076","(0.01937592, -0.099989176, 0.064162254)"
"1573238182083","(0.02403009, 0.10120535, 0.023612976)"
"1573238182156","(0.008360863, 0.07129955, -0.05253315)"
"1573238182173","(-0.010591924, -0.13631225, -0.014221191)"
"1573238182174","(8.368492E-4, -0.24050236, 0.041409492)"
"1573238182187","(-0.03548938, 0.04384947, 0.06208229)"
"1573238182190","(-0.007363498, 0.013345003, 0.026613235)"
"1573238182199","(-0.03656882, -0.122379065, 0.0027809143)"
"1573238182279","(0.030787528, -0.3111725, -0.024193764)"
"1573238182289","(0.01691997, -0.024473429, 0.0048093796)"
"1573238182310","(0.035294056, 0.08617568, -8.249283E-4)"
"1573238182318","(0.02489233, 0.06262493, -0.021140099)"
"1573238182319","(-0.01480937, -0.01764512, 0.019783974)"
"1573238182323","(-0.034774125, -0.13396788, 0.088739395)"
"1573238182364","(-0.0020484924, -0.19721723, 0.044820786)"
"1573238182380","(0.029634893, 0.051675797, 0.010457993)"
"1573238182382","(0.051939785, 0.12301278, -0.061421394)"
"1573238182405","(0.015273988, -0.007870197, -0.051887512)"
"1573238182417","(-8.7475777E-4, -0.19449735, 0.06963062)"
"1573238182438","(-0.05539584, -0.04806924, 0.12726784)"
"1573238182461","(-0.030471802, -0.02011633, 0.052781105)"
"1573238182476","(-0.03057009, -0.0039565563, -0.01425457)"
"1573238182506","(0.022185504, -0.123842955, -0.013810158)"
"1573238182517","(0.042118788, 0.026374102, 0.0046453476)"
"1573238182537","(0.03404075, 0.10654616, 0.039923668)"
"1573238182558","(0.016217053, 0.037736416, 0.017985344)"
"1573238182578","(-0.010943234, -0.092316866, -0.034814835)"
"1573238182747","(-0.061612487, -0.17703748, 0.021844864)"
"1573238182757","(-0.022981226, -0.09718394, 0.08128548)"
"1573238182779","(0.019491017, 0.1472876, 0.012493134)"
"1573238182795","(0.0142070055, 0.054996252, -0.02275753)"
"1573238182860","(0.031046212, -0.07376599, -0.06524086)"
"1573238182863","(-0.026461005, -0.23458648, 0.034687996)"
"1573238182865","(-0.0133981705, -0.07003641, 0.07553768)"
"1573238182872","(-0.018365264, 0.19893551, 0.035251617)"
"1573238182881","(-0.021470368, -3.0517578E-4, 0.019509315)"
"1573238182881","(-0.044496715, -0.03767252, 0.03682804)"
"1573238182881","(-0.30750042, -0.058835983, 0.0894804)"
"1573238182883","(0.38024035, 0.12714124, -0.117910385)"
"1573238182883","(-0.12390971, -0.21035767, 0.028320312)"
"1573238182884","(0.12516922, 0.09484625, -0.06541252)"
"1573238182907","(0.021583319, -0.13303733, 0.030111313)"
"1573238182910","(-0.05566269, -0.17414236, 0.094703674)"
"1573238182920","(-0.095434606, 0.17107296, 0.026094437)"
"1573238183104","(0.047170162, 0.098845005, -0.027575493)"
"1573238183116","(0.003976226, -0.038855314, 0.11801243)"
"1573238183139","(-0.11469144, 0.026940823, 0.13220024)"
"1573238183156","(0.050631046, 0.14691639, -0.016989708)"
"1573238183193","(0.06722391, 0.032139063, -0.09163475)"
"1573238183194","(0.0020654798, -0.1151216, -0.028761864)"
"1573238183194","(-0.013672352, -0.11111188, 0.064614296)"
"1573238183206","(-0.016175985, -0.031410694, 0.0108881)"
"1573238183210","(2.5051832E-4, -0.049584866, -0.0044784546)"
"1573238183211","(0.039933324, 0.06229353, -0.01896286)"
"1573238183211","(-0.010199845, -0.06288409, 0.03226185)"
"1573238183222","(0.01989311, -0.1028831, 0.045303345)"
"1573238183228","(-0.023060262, -0.049630404, 0.053274155)"
"1573238183240","(0.02466321, 0.007516861, -0.027132988)"
"1573238183303","(0.0019265413, 0.026703358, -0.04951763)"
"1573238183317","(0.022996545, 0.03182459, -0.006378174)"
"1573238183325","(0.04435718, -0.031515837, -0.011176109)"
