time,value,accuracy
1586006103651,86.01536,2
1586006104622,86.01536,2
1586006105597,86.01536,2
1586006106567,85.88822,2
1586006107538,85.88822,2
1586006108510,84.83712,2
1586006109483,84.70573,1
1586006110455,84.68931,1
1586006111428,86.59244,1
1586006112402,87.45532,1
1586006113369,87.45532,1
1586006114345,87.98506,1
1586006115313,87.888405,1
1586006116287,87.86775,1
1586006117259,88.21497,1
1586006118230,88.17323,1
1586006119201,88.17323,1
1586006120175,89.54777,2
1586006121152,92.74713,2
1586006122120,96.84577,2
1586006123095,97.15098,2
1586006124065,96.93614,2
1586006125035,96.93614,2
1586006126008,94.264786,2
1586006126981,94.12888,2
1586006127952,94.10538,2
1586006128924,90.96979,1
1586006129894,90.57784,1
1586006130867,90.57784,1
1586006131845,90.52885,2
1586006132813,91.52547,2
1586006133787,97.89686,2
1586006134755,98.69328,2
1586006135729,98.79284,2
1586006136698,98.79284,2
1586006137673,96.80921,2
1586006138642,95.568405,2
1586006139617,95.3997,2
1586006140594,95.37861,2
1586006141563,95.37597,2
1586006142534,95.37597,2
1586006143506,97.538124,2
1586006144479,97.908195,2
1586006145451,98.96807,2
1586006146424,99.13262,3
1586006147394,100.41206,3
1586006148366,100.41206,3
1586006149343,101.20563,2
1586006150311,101.304825,2
1586006151287,101.31722,2
1586006152255,100.299416,2
1586006153229,100.12523,2
1586006154198,100.12523,2
1586006155171,99.68571,2
1586006156141,98.79709,2
1586006157116,97.792816,2
1586006158088,96.76689,1
1586006159061,96.40696,2
1586006160033,96.40696,2
1586006161006,95.46062,1
1586006161978,95.132225,1
1586006162949,94.12426,1
1586006163923,93.99827,1
1586006164895,93.98252,1
1586006165866,93.98252,1
1586006166844,93.63584,1
1586006167814,93.848274,1
1586006168786,95.271194,1
1586006169757,95.35738,1
1586006170731,95.358025,1
1586006171700,95.358025,1
1586006172675,94.607704,1
1586006173646,94.513916,0
1586006174622,94.50219,1
1586006175594,94.54789,1
1586006176564,94.57011,1
1586006177538,94.57011,1
1586006178509,93.45718,1
1586006179484,93.46628,1
1586006180459,93.47456,1
1586006181428,93.48253,1
1586006182401,93.48353,1
1586006183369,93.48353,1
1586006184345,93.60865,2
1586006185316,92.71424,2
1586006186289,92.10985,1
1586006187261,90.603935,1
1586006188233,90.415695,1
1586006189206,90.415695,1
1586006190178,90.392166,1
1586006191152,90.96707,1
1586006192120,90.97644,1
