time,x,y,z
1586177581157,-0.18888454,-0.24477813,0.87988657
1586177581186,-0.19030094,-0.24018627,0.8814528
1586177581198,-0.191949,-0.23584697,0.8828616
1586177581227,-0.19403274,-0.23240285,0.884629
1586177581271,-0.19618146,-0.22886115,0.8865844
1586177581339,-0.20034719,-0.22276081,0.8895013
1586177581346,-0.20284158,-0.21854302,0.8914102
1586177581359,-0.20570648,-0.21342024,0.89298743
1586177581360,-0.2087803,-0.21082702,0.8945992
1586177581367,-0.21133028,-0.20849907,0.8961792
1586177581442,-0.21303956,-0.20562416,0.89731365
1586177581460,-0.21446975,-0.20243584,0.8984319
1586177581483,-0.21561138,-0.19850661,0.8993475
1586177581484,-0.21638945,-0.19547665,0.90046513
1586177581496,-0.216789,-0.19354041,0.9017285
1586177581497,-0.21722275,-0.19231664,0.9028674
1586177581499,-0.21752436,-0.19144848,0.90363395
1586177581539,-0.2177158,-0.1902841,0.90394753
1586177581548,-0.21734999,-0.18878974,0.9039235
1586177581555,-0.21664293,-0.18770026,0.90342027
1586177581577,-0.21521984,-0.1868631,0.90242475
1586177581597,-0.21253839,-0.18649699,0.90114385
1586177581624,-0.20889372,-0.18647143,0.89964163
1586177581637,-0.20482746,-0.18800403,0.8974819
1586177581658,-0.20131204,-0.19297458,0.89439446
1586177581676,-0.19840965,-0.20022495,0.89029175
1586177581696,-0.19739327,-0.20979422,0.88528484
1586177581723,-0.1984654,-0.22183858,0.8785248
1586177581736,-0.200543,-0.23603737,0.8702609
1586177581764,-0.20300038,-0.25021607,0.8615894
1586177581776,-0.20477453,-0.26198512,0.8527829
1586177581797,-0.20658153,-0.2728971,0.843612
1586177581816,-0.20871027,-0.28896448,0.83420277
1586177581836,-0.21122104,-0.31830028,0.8239328
1586177581866,-0.21579683,-0.35623607,0.8105132
1586177581876,-0.22135465,-0.38873506,0.7978954
1586177581897,-0.22615245,-0.40684256,0.7919425
1586177581917,-0.22529064,-0.40853152,0.79326046
1586177581936,-0.23154229,-0.41130918,0.79527384
1586177581963,-0.24690817,-0.42319283,0.79566705
1586177581978,-0.2600645,-0.43655458,0.7953618
1586177582001,-0.27051947,-0.4476719,0.7966998
1586177582016,-0.28149897,-0.45824724,0.7967627
1586177582037,-0.29425403,-0.47245795,0.79131836
1586177582059,-0.30349496,-0.48661795,0.78475624
1586177582079,-0.30536053,-0.50979286,0.77378595
1586177582106,-0.30262378,-0.5287843,0.7646836
1586177582118,-0.29989564,-0.5465843,0.7546394
1586177582139,-0.30002818,-0.5714007,0.73686695
1586177582154,-0.30378214,-0.60496557,0.70839727
1586177582174,-0.3096447,-0.64272743,0.6723054
1586177582226,-0.31359947,-0.6780994,0.6346606
1586177582244,-0.31552088,-0.7088055,0.5976511
1586177582254,-0.3161704,-0.7334252,0.5655553
1586177582259,-0.31780836,-0.7550696,0.53339696
1586177582374,-0.32021382,-0.77269393,0.5014754
1586177582401,-0.3210023,-0.7794421,0.48180544
1586177582401,-0.32022065,-0.77625,0.4762989
1586177582420,-0.31940776,-0.7719931,0.47281677
1586177582422,-0.32115656,-0.7699771,0.46744865
1586177582426,-0.325072,-0.77158266,0.45910344
1586177582429,-0.32655963,-0.7730685,0.45454904
1586177582431,-0.3232789,-0.76917666,0.46203402
1586177582447,-0.31340155,-0.75950015,0.48249346
1586177582458,-0.29808018,-0.7468866,0.5108929
1586177582474,-0.28309467,-0.7336366,0.5377861
1586177582496,-0.27270368,-0.7200691,0.56017345
1586177582513,-0.26554334,-0.7061483,0.58056825
1586177582542,-0.2608064,-0.6946711,0.5976707
1586177582553,-0.25556624,-0.68401814,0.6141335
1586177582577,-0.25239173,-0.67854005,0.62293243
1586177582594,-0.25122637,-0.67611516,0.6255977
1586177582613,-0.25057688,-0.6789579,0.6222819
1586177582642,-0.24909626,-0.6891213,0.6123049
1586177582654,-0.24773644,-0.7012906,0.6000602
1586177582683,-0.2461479,-0.7073754,0.59372526
1586177582694,-0.24570455,-0.70590293,0.59304065
1586177582713,-0.2487631,-0.7005556,0.5933361
1586177582737,-0.2560443,-0.6969646,0.59012425
1586177582753,-0.26658005,-0.693921,0.5848905
1586177582783,-0.27776375,-0.6900955,0.5789619
1586177582794,-0.2880046,-0.68526626,0.5730487
1586177582814,-0.30012462,-0.68089586,0.5647134
1586177582834,-0.31424478,-0.6775118,0.5543736
1586177582854,-0.32841,-0.6761679,0.5420816
1586177582881,-0.3387831,-0.6733976,0.53180313
1586177582894,-0.34170058,-0.6675392,0.5276672
1586177582915,-0.34006327,-0.66020304,0.52694094
1586177582934,-0.34022874,-0.65617317,0.52273583
1586177582954,-0.3446203,-0.6575777,0.51286775
1586177582979,-0.34944662,-0.66022927,0.50297
1586177582994,-0.35189396,-0.6611672,0.49709943
1586177583020,-0.3490881,-0.6599161,0.4975491
1586177583034,-0.34422842,-0.65792936,0.50015056
1586177583054,-0.34228086,-0.6567663,0.49953374
1586177583076,-0.34162566,-0.65679985,0.49736652
1586177583096,-0.3386493,-0.65411913,0.4985299
1586177583125,-0.33301517,-0.6477477,0.50366163
1586177583137,-0.32638365,-0.64196974,0.50873995
1586177583157,-0.32066306,-0.63913304,0.51102734
1586177583176,-0.31677002,-0.6394604,0.50966674
1586177583197,-0.314656,-0.64163744,0.505176
1586177583223,-0.31431377,-0.64393896,0.49903885
1586177583236,-0.31586713,-0.6450973,0.49265644
1586177583259,-0.31898117,-0.64475596,0.48694423
1586177583276,-0.32178733,-0.6445911,0.4826155
1586177583297,-0.32462338,-0.6448425,0.47861454
1586177583320,-0.3262515,-0.646664,0.47444442
1586177583337,-0.32855406,-0.6499181,0.46780977
1586177583363,-0.3314015,-0.65413916,0.45886222
1586177583376,-0.3327875,-0.65842795,0.44999018
1586177583397,-0.33230886,-0.6614036,0.44263852
1586177583417,-0.33133817,-0.6633605,0.43678018
1586177583438,-0.33241898,-0.66400534,0.43140122
1586177583463,-0.33596426,-0.663373,0.426871
1586177583476,-0.3402049,-0.6618697,0.42472687
1586177583500,-0.34480038,-0.6593926,0.42417789
1586177583520,-0.34993365,-0.65629494,0.42387524
1586177583540,-0.35561183,-0.6522885,0.42322767
1586177583563,-0.36097977,-0.6478553,0.42275828
1586177583580,-0.36498296,-0.64402884,0.42312664
1586177583610,-0.36869636,-0.6411355,0.42292032
1586177583621,-0.3726779,-0.63846403,0.42228457
1586177583648,-0.37475696,-0.6348779,0.42426273
1586177583665,-0.3725421,-0.63044477,0.4305775
1586177583677,-0.36925465,-0.628125,0.43662134
1586177583709,-0.37112984,-0.6283371,0.43743306
1586177583721,-0.38094378,-0.62990826,0.4312189
1586177583740,-0.39201966,-0.6314277,0.42452118
1586177583757,-0.39833432,-0.63159674,0.42233488
1586177583781,-0.40119836,-0.63458693,0.4197558
1586177583802,-0.40406036,-0.64263403,0.41292167
1586177583820,-0.4070119,-0.65340674,0.403296
1586177583841,-0.407843,-0.6637799,0.39619157
1586177583861,-0.4052697,-0.6707358,0.39662385
1586177583880,-0.4012736,-0.675019,0.40223333
1586177583900,-0.3996579,-0.67820007,0.40702707
1586177583921,-0.4032273,-0.68260497,0.40589195
1586177583949,-0.411954,-0.6878298,0.39744908
1586177583961,-0.42287987,-0.69026566,0.38586655
1586177583977,-0.4343727,-0.68515396,0.3762679
1586177583998,-0.44549206,-0.6731086,0.3698217
1586177584021,-0.45627907,-0.6596613,0.36390805
1586177584045,-0.46469054,-0.6449992,0.3630447
1586177584061,-0.46900848,-0.62572867,0.37110558
1586177584080,-0.46766424,-0.6059178,0.38445526
1586177584103,-0.4633739,-0.5936179,0.39425606
1586177584123,-0.4586055,-0.5875803,0.39967296
1586177584144,-0.45383495,-0.58301944,0.40412036
1586177584158,-0.45021492,-0.5791418,0.4054645
1586177584190,-0.4463818,-0.5756471,0.4068791
1586177584201,-0.4436567,-0.5710264,0.40636173
1586177584222,-0.44434765,-0.56292,0.4048529
1586177584243,-0.4475454,-0.5510111,0.40638065
1586177584261,-0.45043722,-0.5384146,0.41097367
1586177584289,-0.45268646,-0.5294829,0.41589707
1586177584300,-0.45505443,-0.52624756,0.41961166
1586177584321,-0.45703942,-0.52863294,0.4207148
1586177584343,-0.45911098,-0.5348432,0.41841272
1586177584361,-0.4599066,-0.5412556,0.415404
1586177584385,-0.45891818,-0.54409444,0.41397962
1586177584398,-0.45823702,-0.54255456,0.41313607
1586177584421,-0.45867825,-0.539213,0.4124333
1586177584440,-0.46102518,-0.5349462,0.41082907
1586177584456,-0.46398485,-0.5305202,0.40931672
1586177584483,-0.4680078,-0.5264758,0.40649438
1586177584501,-0.47540128,-0.5273921,0.39793724
1586177584522,-0.4854005,-0.5374233,0.38072923
1586177584542,-0.4942465,-0.5521447,0.3591083
1586177584562,-0.50152963,-0.56504047,0.34048408
1586177584580,-0.5068383,-0.5757002,0.32788467
1586177584608,-0.50836116,-0.58333117,0.32148266
1586177584629,-0.50666904,-0.58667266,0.3204515
1586177584648,-0.50344473,-0.58793145,0.3220499
1586177584663,-0.49894887,-0.5878599,0.32604045
1586177584682,-0.49657363,-0.5854065,0.33188447
1586177584698,-0.4982402,-0.5788167,0.33257973
1586177584726,-0.5018208,-0.56874466,0.33037204
1586177584741,-0.5028895,-0.5582215,0.3285291
1586177584756,-0.50142425,-0.55001146,0.32753995
1586177584781,-0.5016286,-0.54428756,0.32568318
1586177584803,-0.504784,-0.535283,0.32728913
1586177584822,-0.51065123,-0.526288,0.32959107
1586177584842,-0.51550364,-0.51572603,0.33138466
1586177584867,-0.5152078,-0.5063073,0.33295578
1586177584882,-0.51036394,-0.49648038,0.33309555
1586177584902,-0.5051577,-0.4875448,0.33162525
1586177584922,-0.50348556,-0.48390168,0.33030385
1586177584942,-0.5069873,-0.48575905,0.32881212
1586177584967,-0.51246417,-0.48990226,0.3269155
1586177584982,-0.5184061,-0.4939261,0.32440796
1586177585003,-0.5242373,-0.49677733,0.32057977
1586177585018,-0.5281554,-0.49956766,0.31650764
1586177585040,-0.5295904,-0.5031373,0.31177706
1586177585067,-0.5286352,-0.50542665,0.30758518
1586177585082,-0.52622277,-0.5065597,0.3056385
1586177585106,-0.52404875,-0.50705427,0.30450037
1586177585122,-0.52487546,-0.50732577,0.30135277
1586177585149,-0.5287829,-0.50868106,0.29636815
1586177585164,-0.53574884,-0.5121924,0.28772894
1586177585183,-0.5461822,-0.5192864,0.27234918
1586177585211,-0.55928075,-0.52680576,0.25123116
1586177585222,-0.56936824,-0.53011215,0.23310761
1586177585243,-0.57474464,-0.53019184,0.22441074
1586177585264,-0.57918775,-0.5342886,0.22144653
1586177585280,-0.58417255,-0.5403392,0.22209446
1586177585306,-0.5848367,-0.54035884,0.22712252
1586177585322,-0.58441705,-0.53707606,0.23228687
1586177585344,-0.58737636,-0.5356662,0.2310966
1586177585359,-0.59099966,-0.5294426,0.22598901
1586177585377,-0.58744085,-0.51394176,0.2261356
1586177585406,-0.57869315,-0.49687347,0.23052713
1586177585420,-0.57564396,-0.48875815,0.23257753
1586177585439,-0.5763092,-0.48478675,0.23353893
1586177585460,-0.5746008,-0.47951493,0.23709498
1586177585480,-0.57008255,-0.4751221,0.24021375
1586177585505,-0.56762135,-0.4712904,0.23923095
1586177585521,-0.5687829,-0.46598893,0.23556912
1586177585546,-0.5698113,-0.4575373,0.2338518
1586177585559,-0.5670348,-0.44789588,0.2351699
1586177585581,-0.56467897,-0.4427748,0.23594008
1586177585612,-0.5690541,-0.44724867,0.23276801
1586177585628,-0.5778619,-0.4549825,0.22650611
1586177585659,-0.58455217,-0.4605452,0.22114642
1586177585659,-0.5861855,-0.4651663,0.21990632
1586177585679,-0.5841793,-0.46984118,0.22069213
1586177585700,-0.5814268,-0.47526932,0.22178192
1586177585723,-0.579016,-0.4805487,0.22349067
1586177585743,-0.57620704,-0.4835997,0.22642612
1586177585763,-0.57293904,-0.48426187,0.23114724
1586177585784,-0.5706153,-0.4835967,0.23630202
1586177585803,-0.57057834,-0.48262233,0.240394
1586177585823,-0.5730619,-0.48215973,0.24237184
1586177585843,-0.57661754,-0.4826282,0.24236292
1586177585863,-0.5801802,-0.48404518,0.24084663
1586177585892,-0.58422023,-0.48825675,0.23716521
1586177585903,-0.5872808,-0.4946683,0.23351032
1586177585923,-0.58834493,-0.5003711,0.23191375
1586177585942,-0.5900816,-0.5035759,0.2308194
1586177585963,-0.59388435,-0.5054796,0.22775698
1586177585985,-0.60044545,-0.505633,0.22321689
1586177586004,-0.61018515,-0.5050775,0.21792948
1586177586023,-0.6165255,-0.5010743,0.21421537
1586177586042,-0.61991644,-0.4978154,0.21124837
1586177586059,-0.62072,-0.49583298,0.20786124
1586177586083,-0.62167364,-0.49450067,0.20295978
1586177586106,-0.62366265,-0.49302095,0.19562349
1586177586126,-0.6242962,-0.49031937,0.18807417
1586177586146,-0.62420064,-0.48823363,0.18040504
1586177586165,-0.6250938,-0.48666227,0.17327896
1586177586183,-0.6273631,-0.48465884,0.1675974
1586177586204,-0.62934035,-0.4825606,0.16298567
