time,value,accuracy
1586780135062,130.37373,2
1586780136061,130.37373,3
1586780137054,130.37373,2
1586780138044,130.24873,2
1586780139033,130.24873,1
1586780140037,130.24873,1
1586780141032,131.02794,1
1586780142030,131.15392,1
1586780143018,131.17244,1
1586780144019,132.51656,2
1586780145012,132.64398,2
1586780146008,132.64398,2
1586780146995,132.66766,2
1586780147992,132.68494,2
1586780148995,132.76099,2
1586780149988,133.14526,2
1586780150984,133.55806,2
1586780151972,133.55806,2
1586780152973,133.51114,1
1586780153967,132.54802,1
1586780154967,131.68309,1
1586780155957,131.58167,1
1586780156953,131.569,1
1586780157942,131.569,1
1586780158943,131.58273,1
1586780159946,131.59892,2
1586780160945,131.62549,1
1586780161942,131.63852,1
1586780162936,131.6484,1
1586780163925,131.6484,1
1586780164924,133.50182,1
1586780165924,132.99464,1
1586780166923,133.16768,1
1586780167921,134.46162,1
1586780168918,134.70253,1
1586780169905,134.70253,1
1586780170908,134.7378,1
1586780171909,136.05836,1
1586780172907,137.96149,1
1586780173900,138.43192,0
1586780174896,138.60214,1
1586780175900,138.60214,1
1586780176899,138.53902,1
1586780177894,139.30022,1
1586780178893,139.54874,1
1586780179891,138.73343,2
1586780180887,138.76695,1
1586780181881,138.76695,1
1586780182879,138.78185,1
1586780183881,139.30865,1
1586780184875,139.24188,1
1586780185876,139.18028,1
1586780186866,139.7974,1
1586780187858,139.7974,1
1586780188866,139.80237,1
1586780189866,141.25291,1
1586780190862,142.51357,1
1586780191861,143.67729,1
1586780192861,143.67958,1
1586780193860,143.67958,1
1586780194856,143.55817,1
1586780195849,143.40182,1
1586780196852,143.29565,1
1586780197848,143.20876,0
1586780198841,143.24721,1
1586780199836,143.24721,1
1586780200837,143.30417,1
1586780201842,144.01654,1
1586780202835,144.05981,1
1586780203830,144.1091,1
1586780204826,144.16328,1
1586780205821,144.16328,1
1586780206832,144.11938,1
1586780207834,144.0708,2
1586780208823,143.98714,1
1586780209828,143.2677,1
1586780210824,143.23218,1
